Dim1	Dim2	Dataset		
X32.1	0.022039274	-6.534242932	rna	Endothelial cell_Tm4sf1 high(Uterus)
X33.1	-4.066790392	-6.548430744	rna	Endothelial cell_Tm4sf1 high(Uterus)
X34.1	8.103509138	-11.23533136	rna	Endothelial cell_Tm4sf1 high(Uterus)
X35.1	8.018211076	-10.78188688	rna	Endothelial cell_Tm4sf1 high(Uterus)
X36.1	8.674111078	-14.23712427	rna	Endothelial cell_Tm4sf1 high(Uterus)
X37.1	-5.183145811	-7.177784745	rna	Endothelial cell_Tm4sf1 high(Uterus)
X38.1	3.846031854	-6.745956246	rna	Endothelial cell_Tm4sf1 high(Uterus)
X39.1	6.560840795	-8.734205071	rna	Endothelial cell_Tm4sf1 high(Uterus)
X40.1	8.429594705	-12.70974714	rna	Endothelial cell_Tm4sf1 high(Uterus)
X41.1	8.570730875	9.356444534	rna	Endothelial cell_Tm4sf1 high(Uterus)
X42.1	1.217901418	-6.499300782	rna	Endothelial cell_Tm4sf1 high(Uterus)
X43.1	8.253761003	-13.38555795	rna	Endothelial cell_Tm4sf1 high(Uterus)
X44.1	1.122630904	-6.485175434	rna	Endothelial cell_Tm4sf1 high(Uterus)
X45.1	3.181896637	-6.699010197	rna	Endothelial cell_Tm4sf1 high(Uterus)
X46.1	8.299494455	-12.73437959	rna	Endothelial cell_Tm4sf1 high(Uterus)
X47.1	-6.087978651	-6.71217424	rna	Endothelial cell_Tm4sf1 high(Uterus)
X48.1	1.716859529	-6.501362625	rna	Endothelial cell_Tm4sf1 high(Uterus)
X49.1	-1.531670501	-6.918350521	rna	Endothelial cell_Tm4sf1 high(Uterus)
X0.3	-13.88846617	19.76656168	rna	Stromal cell_Hsd11b2 high(Uterus)
X1.2	-1.971850445	-6.180687252	rna	Stromal cell_Hsd11b2 high(Uterus)
X2.2	4.785899828	-7.053336445	rna	Stromal cell_Hsd11b2 high(Uterus)
X3.2	8.910126398	-16.19626981	rna	Stromal cell_Hsd11b2 high(Uterus)
X4.2	6.127382944	16.7649557	rna	Stromal cell_Hsd11b2 high(Uterus)
X5.2	5.477408598	15.31128901	rna	Stromal cell_Hsd11b2 high(Uterus)
X6.2	-3.23511987	-6.568404976	rna	Stromal cell_Hsd11b2 high(Uterus)
X7.2	8.223755548	-11.72033292	rna	Stromal cell_Hsd11b2 high(Uterus)
X8.2	1.883681367	-6.5828293	rna	Stromal cell_Hsd11b2 high(Uterus)
X9.2	2.551831911	-6.390621964	rna	Stromal cell_Hsd11b2 high(Uterus)
X10.2	8.183144281	-13.11306078	rna	Stromal cell_Hsd11b2 high(Uterus)
X11.2	8.122257898	-12.18186266	rna	Stromal cell_Hsd11b2 high(Uterus)
X12.2	4.094705293	13.98028105	rna	Stromal cell_Hsd11b2 high(Uterus)
X13.2	7.306523988	-9.612470452	rna	Stromal cell_Hsd11b2 high(Uterus)
X14.2	1.405232499	-6.55543739	rna	Stromal cell_Hsd11b2 high(Uterus)
X15.2	-2.544704726	-6.653425995	rna	Stromal cell_Hsd11b2 high(Uterus)
X16.2	8.824889848	-16.2350443	rna	Stromal cell_Hsd11b2 high(Uterus)
X17.2	3.56901736	-6.7875765	rna	Stromal cell_Hsd11b2 high(Uterus)
X18.2	-14.01319533	19.9093973	rna	Stromal cell_Hsd11b2 high(Uterus)
X19.2	8.667620371	-15.28374273	rna	Stromal cell_Hsd11b2 high(Uterus)
X20.2	7.541432092	-9.587907616	rna	Stromal cell_Hsd11b2 high(Uterus)
X21.2	8.70128412	-13.61841566	rna	Stromal cell_Hsd11b2 high(Uterus)
X22.2	-13.97064333	19.77701395	rna	Stromal cell_Hsd11b2 high(Uterus)
X23.2	-13.93990355	19.52876109	rna	Stromal cell_Hsd11b2 high(Uterus)
X24.2	7.501993845	-9.24196035	rna	Stromal cell_Hsd11b2 high(Uterus)
X25.2	8.766205499	-12.46846563	rna	Stromal cell_Hsd11b2 high(Uterus)
X26.2	-14.45165091	19.6738035	rna	Stromal cell_Hsd11b2 high(Uterus)
X27.2	8.817597101	-15.69113905	rna	Stromal cell_Hsd11b2 high(Uterus)
X28.2	8.137446115	-10.74547273	rna	Stromal cell_Hsd11b2 high(Uterus)
X29.2	6.822494695	-8.597560707	rna	Stromal cell_Hsd11b2 high(Uterus)
X30.2	-14.06604605	19.71799868	rna	Stromal cell_Hsd11b2 high(Uterus)
X31.2	7.647459219	-10.92100698	rna	Stromal cell_Hsd11b2 high(Uterus)
X32.2	0.350827987	14.77278727	rna	Stromal cell_Hsd11b2 high(Uterus)
X33.2	1.140915344	-6.506422821	rna	Stromal cell_Hsd11b2 high(Uterus)
X34.2	-14.0880559	19.98388117	rna	Stromal cell_Hsd11b2 high(Uterus)
X35.2	8.393666933	-13.40523988	rna	Stromal cell_Hsd11b2 high(Uterus)
X36.2	-1.786474516	-6.593844239	rna	Stromal cell_Hsd11b2 high(Uterus)
X37.2	0.176293919	14.87273329	rna	Stromal cell_Hsd11b2 high(Uterus)
X38.2	-4.506039431	-6.968165222	rna	Stromal cell_Hsd11b2 high(Uterus)
X39.2	-14.02421026	19.7764284	rna	Stromal cell_Hsd11b2 high(Uterus)
X40.2	6.384330938	16.98970049	rna	Stromal cell_Hsd11b2 high(Uterus)
X41.2	0.902300785	-6.41226894	rna	Stromal cell_Hsd11b2 high(Uterus)
X42.2	-1.683369686	-6.783523861	rna	Stromal cell_Hsd11b2 high(Uterus)
X43.2	3.573123644	-6.439694706	rna	Stromal cell_Hsd11b2 high(Uterus)
X44.2	-0.689763298	-6.640450779	rna	Stromal cell_Hsd11b2 high(Uterus)
X45.2	4.19037647	-6.858717743	rna	Stromal cell_Hsd11b2 high(Uterus)
X46.2	7.807815263	-10.49200994	rna	Stromal cell_Hsd11b2 high(Uterus)
X47.2	4.976960371	-7.26452953	rna	Stromal cell_Hsd11b2 high(Uterus)
X48.2	-13.93436556	19.99034327	rna	Stromal cell_Hsd11b2 high(Uterus)
X49.2	8.65877218	-14.43883497	rna	Stromal cell_Hsd11b2 high(Uterus)
X0.4	-14.39380388	19.64202135	rna	Stromal cell_Has1 high(Uterus)
X1.3	12.04056043	13.18410223	rna	Stromal cell_Has1 high(Uterus)
X2.3	6.309032629	8.492121872	rna	Stromal cell_Has1 high(Uterus)
X3.3	7.814818094	-10.64600069	rna	Stromal cell_Has1 high(Uterus)
X4.3	-13.65318136	20.18644732	rna	Stromal cell_Has1 high(Uterus)
X5.3	5.827757547	15.88862437	rna	Stromal cell_Has1 high(Uterus)
X6.3	0.581979731	14.59449595	rna	Stromal cell_Has1 high(Uterus)
X7.3	12.19664449	14.02024859	rna	Stromal cell_Has1 high(Uterus)
X8.3	-0.162766894	17.36428851	rna	Stromal cell_Has1 high(Uterus)
X9.3	10.43219919	10.93342226	rna	Stromal cell_Has1 high(Uterus)
X10.3	-13.97981196	20.10998553	rna	Stromal cell_Has1 high(Uterus)
X11.3	-0.349258473	16.16948717	rna	Stromal cell_Has1 high(Uterus)
X12.3	-14.21150904	19.99961871	rna	Stromal cell_Has1 high(Uterus)
X13.3	1.939878533	14.10826224	rna	Stromal cell_Has1 high(Uterus)
X14.3	1.49988539	-6.430873219	rna	Stromal cell_Has1 high(Uterus)
X15.3	11.70225305	12.32066553	rna	Stromal cell_Has1 high(Uterus)
X16.3	-1.301712324	-6.94245464	rna	Stromal cell_Has1 high(Uterus)
X17.3	8.956302354	9.710533317	rna	Stromal cell_Has1 high(Uterus)
X18.3	-14.0905221	20.15523737	rna	Stromal cell_Has1 high(Uterus)
X19.3	8.887875269	-16.5022133	rna	Stromal cell_Has1 high(Uterus)
X20.3	2.266863773	14.01155299	rna	Stromal cell_Has1 high(Uterus)
X21.3	-14.12954931	19.65247744	rna	Stromal cell_Has1 high(Uterus)
X22.3	0.12070893	18.89101046	rna	Stromal cell_Has1 high(Uterus)
X23.3	8.657199571	9.442689117	rna	Stromal cell_Has1 high(Uterus)
X24.3	-13.7427743	20.13265055	rna	Stromal cell_Has1 high(Uterus)
X25.3	6.008274744	16.28063792	rna	Stromal cell_Has1 high(Uterus)
X26.3	-13.90737372	19.58574885	rna	Stromal cell_Has1 high(Uterus)
X27.3	9.073555658	-17.07685072	rna	Stromal cell_Has1 high(Uterus)
X28.3	0.049543107	15.07229823	rna	Stromal cell_Has1 high(Uterus)
X29.3	10.02650137	10.59051722	rna	Stromal cell_Has1 high(Uterus)
X30.3	8.900357912	-16.57116109	rna	Stromal cell_Has1 high(Uterus)
X31.3	4.242035101	14.04192751	rna	Stromal cell_Has1 high(Uterus)
X32.3	-3.567487767	-6.561621968	rna	Stromal cell_Has1 high(Uterus)
X33.3	-1.505622675	-6.69823486	rna	Stromal cell_Has1 high(Uterus)
X34.3	4.045743416	-6.665852371	rna	Stromal cell_Has1 high(Uterus)
X35.3	-13.9969533	19.83019846	rna	Stromal cell_Has1 high(Uterus)
X36.3	-13.79629355	20.10872858	rna	Stromal cell_Has1 high(Uterus)
X37.3	9.105017374	-17.09303075	rna	Stromal cell_Has1 high(Uterus)
X38.3	0.097050863	19.16174715	rna	Stromal cell_Has1 high(Uterus)
X39.3	6.325739095	17.15261668	rna	Stromal cell_Has1 high(Uterus)
X40.3	-0.372067084	16.57289141	rna	Stromal cell_Has1 high(Uterus)
X41.3	-14.26618986	19.67238634	rna	Stromal cell_Has1 high(Uterus)
X42.3	5.217438886	15.02344626	rna	Stromal cell_Has1 high(Uterus)
X43.3	8.769049356	-16.41860468	rna	Stromal cell_Has1 high(Uterus)
X44.3	-14.10487013	20.04224795	rna	Stromal cell_Has1 high(Uterus)
X45.3	8.176737974	-12.43937475	rna	Stromal cell_Has1 high(Uterus)
X46.3	7.485523889	-9.184030358	rna	Stromal cell_Has1 high(Uterus)
X47.3	5.803581903	15.8551504	rna	Stromal cell_Has1 high(Uterus)
X48.3	17.77427835	-0.837724235	rna	Stromal cell_Has1 high(Uterus)
X49.3	-13.970959	19.87252634	rna	Stromal cell_Has1 high(Uterus)
X0.5	7.795114229	8.564273056	rna	Glandular epithelium_Sprr2f high(Uterus)
X1.4	-14.45435839	19.57938593	rna	Glandular epithelium_Sprr2f high(Uterus)
X2.4	8.09650583	-11.23140604	rna	Glandular epithelium_Sprr2f high(Uterus)
X3.4	-14.03967695	19.87023371	rna	Glandular epithelium_Sprr2f high(Uterus)
X4.4	-14.15853911	19.60256594	rna	Glandular epithelium_Sprr2f high(Uterus)
X5.4	-13.83651762	20.22738856	rna	Glandular epithelium_Sprr2f high(Uterus)
X6.4	-13.99958544	19.96636599	rna	Glandular epithelium_Sprr2f high(Uterus)
X7.4	-14.09793215	20.09815615	rna	Glandular epithelium_Sprr2f high(Uterus)
X8.4	-14.38820868	19.57900446	rna	Glandular epithelium_Sprr2f high(Uterus)
X9.4	5.73094053	15.81889742	rna	Glandular epithelium_Sprr2f high(Uterus)
X10.4	-13.9241746	19.90558642	rna	Glandular epithelium_Sprr2f high(Uterus)
X11.4	-14.12595492	19.71980303	rna	Glandular epithelium_Sprr2f high(Uterus)
X12.4	-14.46956663	19.4500162	rna	Glandular epithelium_Sprr2f high(Uterus)
X13.4	-14.3251956	19.63319414	rna	Glandular epithelium_Sprr2f high(Uterus)
X14.4	3.305705497	-6.667140309	rna	Glandular epithelium_Sprr2f high(Uterus)
X15.4	-14.37662821	19.61655634	rna	Glandular epithelium_Sprr2f high(Uterus)
X16.4	-14.3232625	19.60176485	rna	Glandular epithelium_Sprr2f high(Uterus)
X17.4	5.965858648	16.20969218	rna	Glandular epithelium_Sprr2f high(Uterus)
X18.4	-14.50963907	19.48138255	rna	Glandular epithelium_Sprr2f high(Uterus)
X19.4	4.375714967	14.14683741	rna	Glandular epithelium_Sprr2f high(Uterus)
X20.4	-14.35551863	19.61285609	rna	Glandular epithelium_Sprr2f high(Uterus)
X21.4	-14.33578043	19.42813128	rna	Glandular epithelium_Sprr2f high(Uterus)
X22.4	-14.25354605	19.61360186	rna	Glandular epithelium_Sprr2f high(Uterus)
X23.4	-14.21578531	19.41937273	rna	Glandular epithelium_Sprr2f high(Uterus)
X24.4	-14.25847845	19.46379488	rna	Glandular epithelium_Sprr2f high(Uterus)
X25.4	-13.91493349	19.76969736	rna	Glandular epithelium_Sprr2f high(Uterus)
X26.4	9.600331018	10.31984156	rna	Glandular epithelium_Sprr2f high(Uterus)
X27.4	-14.35019617	19.50681132	rna	Glandular epithelium_Sprr2f high(Uterus)
X28.4	-14.34803324	19.59771746	rna	Glandular epithelium_Sprr2f high(Uterus)
X29.4	-1.863403609	-5.981756035	rna	Glandular epithelium_Sprr2f high(Uterus)
X30.4	-14.25393133	19.54999178	rna	Glandular epithelium_Sprr2f high(Uterus)
X31.4	-14.20442419	19.6143133	rna	Glandular epithelium_Sprr2f high(Uterus)
X32.4	6.501242349	16.92573946	rna	Glandular epithelium_Sprr2f high(Uterus)
X33.4	8.19072027	-10.9597767	rna	Glandular epithelium_Sprr2f high(Uterus)
X34.4	-14.35306101	19.60571307	rna	Glandular epithelium_Sprr2f high(Uterus)
X35.4	-14.36991148	19.51734942	rna	Glandular epithelium_Sprr2f high(Uterus)
X36.4	-14.32365446	19.63280695	rna	Glandular epithelium_Sprr2f high(Uterus)
X37.4	8.783697794	-14.92754537	rna	Glandular epithelium_Sprr2f high(Uterus)
X38.4	-13.38678103	20.16935175	rna	Glandular epithelium_Sprr2f high(Uterus)
X39.4	-13.81822996	19.36701411	rna	Glandular epithelium_Sprr2f high(Uterus)
X40.4	-13.70761233	19.52782267	rna	Glandular epithelium_Sprr2f high(Uterus)
X41.4	-14.20294314	19.38813227	rna	Glandular epithelium_Sprr2f high(Uterus)
X42.4	-13.46872549	19.80886286	rna	Glandular epithelium_Sprr2f high(Uterus)
X43.4	-14.28909617	19.54489344	rna	Glandular epithelium_Sprr2f high(Uterus)
X44.4	-14.36095267	19.50275057	rna	Glandular epithelium_Sprr2f high(Uterus)
X45.4	7.891569326	-11.06043989	rna	Glandular epithelium_Sprr2f high(Uterus)
X46.4	-13.8207963	19.77447909	rna	Glandular epithelium_Sprr2f high(Uterus)
X47.4	-14.22843008	19.67809885	rna	Glandular epithelium_Sprr2f high(Uterus)
X48.4	0.968478928	-6.392646614	rna	Glandular epithelium_Sprr2f high(Uterus)
X49.4	-14.19018393	19.76953715	rna	Glandular epithelium_Sprr2f high(Uterus)
X0.6	7.103898714	-9.481293503	rna	Macrophage(Uterus)
X1.5	4.991885851	-7.304423634	rna	Macrophage(Uterus)
X2.5	-0.11140429	19.70917147	rna	Macrophage(Uterus)
X3.5	-0.208247294	15.62377947	rna	Macrophage(Uterus)
X4.5	-6.350211909	-6.867042843	rna	Macrophage(Uterus)
X5.5	2.412928054	-6.75992519	rna	Macrophage(Uterus)
X6.5	7.326473425	-9.835032288	rna	Macrophage(Uterus)
X7.5	8.09956331	-10.98212606	rna	Macrophage(Uterus)
X8.5	5.049490163	-7.42409021	rna	Macrophage(Uterus)
X9.5	3.191575239	-6.524789158	rna	Macrophage(Uterus)
X10.5	4.729559133	-7.631841007	rna	Macrophage(Uterus)
X11.5	-6.401034167	-6.798848931	rna	Macrophage(Uterus)
X12.5	-1.790968706	-6.576198403	rna	Macrophage(Uterus)
X13.5	-5.065741827	-7.128949944	rna	Macrophage(Uterus)
X14.5	3.897007177	-6.74512035	rna	Macrophage(Uterus)
X15.5	7.884653757	-11.2678774	rna	Macrophage(Uterus)
X16.5	2.270760963	14.06368845	rna	Macrophage(Uterus)
X17.5	-13.90915709	20.07206934	rna	Macrophage(Uterus)
X18.5	-12.45378523	-9.253592316	rna	Macrophage(Uterus)
X19.5	-2.257811119	-6.589570347	rna	Macrophage(Uterus)
X20.5	4.384789655	13.91980379	rna	Macrophage(Uterus)
X21.5	4.313326547	-7.16322929	rna	Macrophage(Uterus)
X22.5	7.399339864	8.17343634	rna	Macrophage(Uterus)
X23.5	8.861873338	-15.6893614	rna	Macrophage(Uterus)
X24.5	12.25557489	13.9215042	rna	Macrophage(Uterus)
X25.5	5.808194826	-8.087860886	rna	Macrophage(Uterus)
X26.5	8.723941515	-16.1771124	rna	Macrophage(Uterus)
X27.5	7.711559961	-10.5603264	rna	Macrophage(Uterus)
X28.5	-5.202884962	-6.672183338	rna	Macrophage(Uterus)
X29.5	8.886892984	-16.59577448	rna	Macrophage(Uterus)
X30.5	1.723906944	14.12420481	rna	Macrophage(Uterus)
X31.5	8.710160921	-15.5183056	rna	Macrophage(Uterus)
X32.5	-2.995622208	-6.578885857	rna	Macrophage(Uterus)
X33.5	1.241654465	14.29489344	rna	Macrophage(Uterus)
X34.5	8.569503496	-14.25582391	rna	Macrophage(Uterus)
X35.5	0.544404367	-6.460347477	rna	Macrophage(Uterus)
X36.5	7.881346414	8.621130165	rna	Macrophage(Uterus)
X37.5	7.579323957	-10.29197675	rna	Macrophage(Uterus)
X38.5	8.923885057	-13.57289106	rna	Macrophage(Uterus)
X39.5	8.31529207	-11.39923936	rna	Macrophage(Uterus)
X40.5	6.760456751	8.279306587	rna	Macrophage(Uterus)
X41.5	6.470095346	-8.781904045	rna	Macrophage(Uterus)
X42.5	5.267327974	-7.499853913	rna	Macrophage(Uterus)
X43.5	-1.42918091	-6.706382099	rna	Macrophage(Uterus)
X44.5	8.746590326	-15.03594	rna	Macrophage(Uterus)
X45.5	-2.429104616	-6.519851033	rna	Macrophage(Uterus)
X46.5	7.83991308	-11.14390928	rna	Macrophage(Uterus)
X47.5	-1.330035379	-7.075962368	rna	Macrophage(Uterus)
X48.5	5.976321409	16.21608752	rna	Macrophage(Uterus)
X49.5	-13.56024103	19.89641207	rna	Macrophage(Uterus)
X0.7	-13.37669974	19.80609911	rna	NK cell(Uterus)
X1.6	1.176816056	-6.494654957	rna	NK cell(Uterus)
X2.6	-5.132127573	-7.151442353	rna	NK cell(Uterus)
X3.6	2.336240003	-6.554162804	rna	NK cell(Uterus)
X4.6	8.645444582	-13.902273	rna	NK cell(Uterus)
X5.6	2.273590276	13.89177531	rna	NK cell(Uterus)
X6.6	6.55137367	-8.374365631	rna	NK cell(Uterus)
X7.6	-0.711666276	-6.692294422	rna	NK cell(Uterus)
X8.6	7.068610857	-9.059034172	rna	NK cell(Uterus)
X9.6	6.411186407	-8.350806538	rna	NK cell(Uterus)
X10.6	-6.036024859	-6.873105828	rna	NK cell(Uterus)
X11.6	-0.534048428	-6.44599754	rna	NK cell(Uterus)
X12.6	12.19524164	13.79812163	rna	NK cell(Uterus)
X13.6	5.108898351	-7.482039753	rna	NK cell(Uterus)
X14.6	9.991262148	10.5720064	rna	NK cell(Uterus)
X15.6	-0.750606468	-6.491068665	rna	NK cell(Uterus)
X16.6	3.298779915	-6.820714299	rna	NK cell(Uterus)
X17.6	1.567570279	14.18226546	rna	NK cell(Uterus)
X18.6	1.809858034	14.14912527	rna	NK cell(Uterus)
X19.6	4.430472562	-6.992411915	rna	NK cell(Uterus)
X20.6	-4.611389448	-6.820369545	rna	NK cell(Uterus)
X21.6	2.309103677	13.97518843	rna	NK cell(Uterus)
X22.6	8.829954813	-13.56552202	rna	NK cell(Uterus)
X23.6	7.873089025	-10.51177961	rna	NK cell(Uterus)
X24.6	-5.756566813	-6.555835549	rna	NK cell(Uterus)
X25.6	8.811067293	-12.47145731	rna	NK cell(Uterus)
X26.6	-13.67467337	20.16010302	rna	NK cell(Uterus)
X27.6	-0.468781223	-6.502542321	rna	NK cell(Uterus)
X28.6	4.246699522	14.24421233	rna	NK cell(Uterus)
X29.6	-4.293330004	-6.45438749	rna	NK cell(Uterus)
X30.6	-4.6614378	-6.706068817	rna	NK cell(Uterus)
X31.6	8.166981886	-11.11568624	rna	NK cell(Uterus)
X32.6	4.34990854	13.95294398	rna	NK cell(Uterus)
X33.6	0.050483043	-6.48730785	rna	NK cell(Uterus)
X34.6	8.074763487	8.840796646	rna	NK cell(Uterus)
X35.6	1.628158043	13.90419501	rna	NK cell(Uterus)
