a,TSNE_1,TSNE_2,X,      ,,,,,,,
32,V1242,3.196084248,2.55469322,Endothelial_mouse     ,,,,,,,
33,V1611,3.193121629,2.735985442,Endothelial_mouse     ,,,,,,,
34,V2074,3.568438993,2.538350355,Endothelial_mouse     ,,,,,,,
35,V2849,3.624854902,2.261019043,Endothelial_mouse     ,,,,,,,
36,V3228,2.828769985,3.425928242,Endothelial_mouse     ,,,,,,,
37,V3620,2.173407532,2.320288289,Endothelial_mouse     ,,,,,,,
38,V3720,3.270236627,2.310155892,Endothelial_mouse     ,,,,,,,
39,V4583,3.586250454,2.628884053,Endothelial_mouse     ,,,,,,,
40,V4803,4.063816503,2.301822047,Endothelial_mouse     ,,,,,,,
41,V5080,3.396509808,2.606199008,Endothelial_mouse     ,,,,,,,
42,V5770,3.515410833,1.94995082,Endothelial_mouse     ,,,,,,,
43,V6305,4.391162262,2.472176793,Endothelial_mouse     ,,,,,,,
44,V1009,4.21703976,2.092055727,Endothelial_mouse     ,,,,,,,
45,V95,4.557921511,2.418706724,Macrophage_mouse     ,,,,,,,
46,V2581,4.598339141,2.083140155,Endothelial_mouse     ,,,,,,,
47,V3371,5.041559693,2.494588507,Endothelial_mouse     ,,,,,,,
48,V4460,2.624915369,0.98411415,Endothelial_mouse     ,,,,,,,
49,V5379,4.723333417,2.19190921,Endothelial_mouse     ,,,,,,,
50,V5482,4.64851737,1.653581674,Endothelial_mouse     ,,,,,,,
51,V6004,5.27642075,2.586601222,Endothelial_mouse     ,,,,,,,
52,V6357,4.688819364,1.98980803,Endothelial_mouse     ,,,,,,,
53,V6672,4.206721705,2.32488991,Endothelial_mouse     ,,,,,,,
54,V490,4.124925816,1.302596147,Endothelial_mouse     ,,,,,,,
55,V186,4.344618538,1.197282833,Macrophage_mouse     ,,,,,,,
56,V624,3.934797425,1.085102653,Endothelial_mouse     ,,,,,,,
57,V1021,4.765159964,1.339411504,Endothelial_mouse     ,,,,,,,
58,V1030,3.711285846,1.928700365,Endothelial_mouse     ,,,,,,,
59,V2161,4.473125409,1.73254903,Endothelial_mouse     ,,,,,,,
60,V2607,4.365007523,1.704985704,Endothelial_mouse     ,,,,,,,
61,V3125,4.369489375,1.177222565,Endothelial_mouse     ,,,,,,,
62,V4563,4.441508373,1.143495265,Endothelial_mouse     ,,,,,,,
63,V6815,4.086494513,1.548159381,Endothelial_mouse     ,,,,,,,
64,V259,4.783432551,1.630877485,Endothelial_mouse     ,,,,,,,
65,V218,4.784368463,1.97414921,Macrophage_mouse     ,,,,,,,
66,V1402,3.768437,2.686620355,Endothelial_mouse     ,,,,,,,
67,V2822,3.737141062,2.08997775,Endothelial_mouse     ,,,,,,,
68,V3014,4.674173381,2.629389821,Endothelial_mouse     ,,,,,,,
69,V3491,3.423122278,1.912509332,Endothelial_mouse     ,,,,,,,
70,V3939,4.504495664,1.497174672,Endothelial_mouse     ,,,,,,,
71,V4428,4.73676652,1.57691157,Endothelial_mouse     ,,,,,,,
72,V5090,3.7502743,3.296824234,Endothelial_mouse     ,,,,,,,
73,V5696,5.08606344,2.724243174,Endothelial_mouse     ,,,,,,,
74,V6141,3.771095526,1.277529245,Endothelial_mouse     ,,,,,,,
75,V408,4.342255234,1.763251896,Endothelial_mouse     ,,,,,,,
76,V273,4.354540355,2.188070818,Macrophage_mouse     ,,,,,,,
77,V714,4.847893136,-0.17040395,Endothelial_mouse     ,,,,,,,
78,V941,4.706550061,1.632410349,Endothelial_mouse     ,,,,,,,
79,V2444,4.460078592,2.236743968,Endothelial_mouse     ,,,,,,,
80,V3792,4.450351258,2.031181483,Endothelial_mouse     ,,,,,,,
81,V4082,4.164921491,1.408192727,Endothelial_mouse     ,,,,,,,
82,V4116,3.869537363,2.51928302,Endothelial_mouse     ,,,,,,,
83,V4741,4.917673495,1.375079714,Endothelial_mouse     ,,,,,,,
84,V4963,4.537752482,1.373984639,Endothelial_mouse     ,,,,,,,
85,V342,5.101371281,2.328250683,Endothelial_mouse     ,,,,,,,
86,V381,4.928825358,1.764766479,Macrophage_mouse     ,,,,,,,
87,V796,4.507300443,1.818107076,Endothelial_mouse     ,,,,,,,
88,V933,3.716768241,3.162359977,Endothelial_mouse     ,,,,,,,
89,V1048,4.756239494,1.282988833,Endothelial_mouse     ,,,,,,,
90,V1377,4.1016044,1.836995295,Endothelial_mouse     ,,,,,,,
91,V1653,4.461121512,1.532383825,Endothelial_mouse     ,,,,,,,
92,V2025,4.174284816,1.285588843,Endothelial_mouse     ,,,,,,,
93,V2078,4.575155998,1.101271049,Endothelial_mouse     ,,,,,,,
94,V2158,4.669955116,1.75695652,Endothelial_mouse     ,,,,,,,
95,V2509,4.741645771,1.418148631,Endothelial_mouse     ,,,,,,,
96,V4127,4.422667356,2.070933736,Endothelial_mouse     ,,,,,,,
97,V4528,4.263670858,1.52186809,Endothelial_mouse     ,,,,,,,
98,V450,3.382419251,1.618983116,Endothelial_mouse     ,,,,,,,
99,V423,3.930673478,1.718715114,Macrophage_mouse     ,,,,,,,
100,V561,3.869090247,1.26554666,Endothelial_mouse     ,,,,,,,
101,V856,4.27708075,1.366638537,Endothelial_mouse     ,,,,,,,
102,V1210,3.570690739,1.455098417,Endothelial_mouse     ,,,,,,,
103,V1865,3.506623101,1.919976782,Endothelial_mouse     ,,,,,,,
104,V4181,3.831586663,1.982442368,Endothelial_mouse     ,,,,,,,
105,V4594,3.894638844,1.599574023,Endothelial_mouse     ,,,,,,,
106,V5869,3.551559969,1.578278774,Endothelial_mouse     ,,,,,,,
107,V6269,4.998224573,2.485125813,Endothelial_mouse     ,,,,,,,
108,V6327,3.701952147,1.899302021,Endothelial_mouse     ,,,,,,,
109,V511,5.160619709,2.261828806,Endothelial_mouse     ,,,,,,,
110,V588,4.302061622,2.472144461,Macrophage_mouse     ,,,,,,,
111,V683,3.357422305,2.088146948,Endothelial_mouse     ,,,,,,,
112,V834,3.31113514,1.742503013,Endothelial_mouse     ,,,,,,,
113,V1654,3.156556284,2.025018976,Endothelial_mouse     ,,,,,,,
114,V3085,4.692021658,1.420781765,Endothelial_mouse     ,,,,,,,
115,V3326,3.718557713,1.059774473,Endothelial_mouse     ,,,,,,,
116,V3580,4.36533827,2.670620119,Endothelial_mouse     ,,,,,,,
117,V4166,3.134474885,2.026959953,Endothelial_mouse     ,,,,,,,
118,V4966,3.497364476,2.162882603,Endothelial_mouse     ,,,,,,,
119,V6078,3.244958646,2.722427436,Endothelial_mouse     ,,,,,,,
120,V6704,3.936191547,2.575065193,Endothelial_mouse     ,,,,,,,
121,V699,4.188211677,1.693605882,Macrophage_mouse     ,,,,,,,
122,V816,3.812906688,1.926046823,Endothelial_mouse     ,,,,,,,
123,V3316,4.201913724,2.303855488,Endothelial_mouse     ,,,,,,,
124,V3581,3.755287366,2.08879182,Endothelial_mouse     ,,,,,,,
125,V4000,4.123951539,1.403743029,Endothelial_mouse     ,,,,,,,
126,V4018,4.547478894,1.336729945,Endothelial_mouse     ,,,,,,,
127,V4325,4.135886934,1.809868925,Endothelial_mouse     ,,,,,,,
128,V6966,4.197016277,1.26078243,Endothelial_mouse     ,,,,,,,
129,V453,3.270030285,3.333342955,Endothelial_mouse     ,,,,,,,
130,V869,3.46249768,2.751487924,Macrophage_mouse     ,,,,,,,
131,V691,3.03694407,2.748645013,Endothelial_mouse     ,,,,,,,
132,V992,3.216556214,2.254362026,Endothelial_mouse     ,,,,,,,
133,V2774,3.303270874,1.843326881,Endothelial_mouse     ,,,,,,,
134,V3362,3.277313271,2.520011827,Endothelial_mouse     ,,,,,,,
135,V4398,2.837737991,2.494024598,Endothelial_mouse     ,,,,,,,
136,V4930,3.852318751,2.427475399,Endothelial_mouse     ,,,,,,,
137,V5582,3.311187506,2.941912416,Endothelial_mouse     ,,,,,,,
138,V6946,3.217167629,3.25561658,Endothelial_mouse     ,,,,,,,
139,V337,4.621349519,1.498934508,Endothelial_mouse     ,,,,,,,
140,V950,4.660093506,1.433980869,Macrophage_mouse     ,,,,,,,
141,V2462,4.52208851,1.351170994,Endothelial_mouse     ,,,,,,,
142,V3325,4.656653664,1.067886599,Endothelial_mouse     ,,,,,,,
143,V1059,3.017591081,2.401296045,Macrophage_mouse     ,,,,,,,
144,V2321,3.233004546,2.338262434,Endothelial_mouse     ,,,,,,,
145,V3443,2.678926436,2.045746903,Endothelial_mouse     ,,,,,,,
146,V4186,2.969978321,2.426212375,Endothelial_mouse     ,,,,,,,
147,V6515,3.030344346,2.343825839,Endothelial_mouse     ,,,,,,,
148,V6673,3.136557144,2.304756254,Endothelial_mouse     ,,,,,,,
149,V266,3.476404311,2.739334959,Endothelial_mouse     ,,,,,,,
150,V1061,3.117611623,2.529841786,Macrophage_mouse     ,,,,,,,
151,V277,3.406027113,2.145227853,Endothelial_mouse     ,,,,,,,
152,V1407,3.155855982,2.477879674,Endothelial_mouse     ,,,,,,,
153,V1770,3.182474674,2.010365984,Endothelial_mouse     ,,,,,,,
154,V4970,3.031883674,2.519568906,Endothelial_mouse     ,,,,,,,
155,V5162,3.41511535,3.631758303,Endothelial_mouse     ,,,,,,,
156,V5252,2.955987557,2.841175617,Endothelial_mouse     ,,,,,,,
157,V5468,3.243558962,3.482517688,Endothelial_mouse     ,,,,,,,
158,V1099,3.3910595,1.796869812,Macrophage_mouse     ,,,,,,,
159,V922,4.445137403,1.103923592,Endothelial_mouse     ,,,,,,,
160,V1695,4.32762969,-0.152747564,Endothelial_mouse     ,,,,,,,
161,V2323,3.256366918,2.2665993,Endothelial_mouse     ,,,,,,,
162,V3667,3.618058131,1.501302285,Endothelial_mouse     ,,,,,,,
163,V6942,3.326152279,2.341547704,Endothelial_mouse     ,,,,,,,
164,V1174,2.940760291,2.875254669,Macrophage_mouse     ,,,,,,,
165,V1778,3.297430607,2.729960025,Endothelial_mouse     ,,,,,,,
166,V2221,2.676483633,2.637822719,Endothelial_mouse     ,,,,,,,
167,V2380,2.743226442,2.50536868,Endothelial_mouse     ,,,,,,,
168,V5108,4.054532688,2.748129561,Endothelial_mouse     ,,,,,,,
169,V5727,3.058229018,2.120106286,Endothelial_mouse     ,,,,,,,
170,V6072,3.031762471,2.781358173,Endothelial_mouse     ,,,,,,,
171,V1231,3.887629433,2.615412365,Macrophage_mouse     ,,,,,,,
172,V1676,3.867326297,2.86046013,Endothelial_mouse     ,,,,,,,
173,V2290,4.458060039,1.983768499,Endothelial_mouse     ,,,,,,,
174,V4065,3.415404166,3.490910473,Endothelial_mouse     ,,,,,,,
175,V5089,3.945836517,2.639757652,Endothelial_mouse     ,,,,,,,
176,V5420,3.917715914,2.584533558,Endothelial_mouse     ,,,,,,,
177,V5555,3.751462231,1.921501947,Endothelial_mouse     ,,,,,,,
178,V6367,3.74768555,2.860360223,Endothelial_mouse     ,,,,,,,
179,V6525,4.020363507,2.390289495,Endothelial_mouse     ,,,,,,,
180,V6734,3.60672031,2.77837726,Endothelial_mouse     ,,,,,,,
181,V1339,3.129034234,3.009132667,Macrophage_mouse     ,,,,,,,
182,V112,3.315983733,3.435380182,Endothelial_mouse     ,,,,,,,
183,V250,4.124430407,2.91581546,Endothelial_mouse     ,,,,,,,
184,V571,2.739821576,2.646501991,Endothelial_mouse     ,,,,,,,
185,V1170,2.78545094,2.852720518,Endothelial_mouse     ,,,,,,,
186,V2006,3.392842572,3.4299253,Endothelial_mouse     ,,,,,,,
187,V3111,3.132407719,3.341195023,Endothelial_mouse     ,,,,,,,
188,V4810,2.954280707,2.629978371,Endothelial_mouse     ,,,,,,,
189,V509,4.456497644,1.228871383,Endothelial_mouse     ,,,,,,,
190,V1390,4.263899803,1.33392093,Macrophage_mouse     ,,,,,,,
191,V1942,4.289095451,1.159922902,Endothelial_mouse     ,,,,,,,
192,V4793,5.00396158,2.309060612,Endothelial_mouse     ,,,,,,,
193,V5092,3.503109533,1.22300552,Endothelial_mouse     ,,,,,,,
194,V1539,2.201203787,1.720308862,Macrophage_mouse     ,,,,,,,
195,V1596,4.871443375,1.672247294,Macrophage_mouse     ,,,,,,,
196,V373,4.725155961,1.42906068,Endothelial_mouse     ,,,,,,,
197,V802,4.775416556,1.821165658,Endothelial_mouse     ,,,,,,,
198,V892,3.83421523,2.44014943,Endothelial_mouse     ,,,,,,,
199,V2340,4.43091017,2.452212187,Endothelial_mouse     ,,,,,,,
200,V3387,4.6298169,1.235128002,Endothelial_mouse     ,,,,,,,
201,V529,3.992014184,2.88984405,Endothelial_mouse     ,,,,,,,
202,V1666,4.568187076,2.85328998,Macrophage_mouse     ,,,,,,,
203,V788,4.034097597,2.694916879,Endothelial_mouse     ,,,,,,,
204,V2400,4.021336737,2.078522131,Endothelial_mouse     ,,,,,,,
205,V4108,4.10789186,2.804735053,Endothelial_mouse     ,,,,,,,
206,V4732,5.034022729,2.754108633,Endothelial_mouse     ,,,,,,,
207,V5111,3.461380706,3.124112274,Endothelial_mouse     ,,,,,,,
208,V6926,1.081127808,1.413140461,Endothelial_mouse     ,,,,,,,
209,V826,3.186411406,2.261678701,Endothelial_mouse     ,,,,,,,
210,V1690,3.084858114,2.443466258,Macrophage_mouse     ,,,,,,,
211,V2850,3.640305743,2.232063097,Endothelial_mouse     ,,,,,,,
212,V6371,2.970069646,2.347083473,Endothelial_mouse     ,,,,,,,
213,V1718,3.611987869,2.675526483,Macrophage_mouse     ,,,,,,,
214,V1738,4.560724225,1.548980763,Macrophage_mouse     ,,,,,,,
215,V5010,4.715784053,1.935494965,Endothelial_mouse     ,,,,,,,
216,V5838,4.526777874,2.131113592,Endothelial_mouse     ,,,,,,,
217,V6616,4.491515064,0.996045813,Endothelial_mouse     ,,,,,,,
218,V1749,4.609623654,1.317857187,Macrophage_mouse     ,,,,,,,
219,V2577,4.303003155,1.371925324,Endothelial_mouse     ,,,,,,,
220,V92,3.600376785,2.442415129,Endothelial_mouse     ,,,,,,,
221,V1763,3.473243938,2.82084247,Macrophage_mouse     ,,,,,,,
222,V6014,3.316335596,2.817108192,Endothelial_mouse     ,,,,,,,
223,V6369,3.272616405,2.009449021,Endothelial_mouse     ,,,,,,,
224,V6808,3.547969708,2.746528577,Endothelial_mouse     ,,,,,,,
225,V500,2.867614243,2.641050482,Endothelial_mouse     ,,,,,,,
226,V1939,2.910789995,2.608661418,Macrophage_mouse     ,,,,,,,
227,V3349,4.484010991,2.263124658,Endothelial_mouse     ,,,,,,,
228,V2023,4.148169253,2.430863227,Macrophage_mouse     ,,,,,,,
229,V1758,4.262574462,2.126386138,Endothelial_mouse     ,,,,,,,
230,V2958,4.332689867,2.253927155,Endothelial_mouse     ,,,,,,,
231,V3813,4.284067573,1.892009684,Endothelial_mouse     ,,,,,,,
232,V5897,4.028282721,2.536346195,Endothelial_mouse     ,,,,,,,
233,V6960,3.904039675,1.857840358,Endothelial_mouse     ,,,,,,,
234,V512,3.074282349,2.178462948,Endothelial_mouse     ,,,,,,,
235,V2139,3.974218034,2.39416859,Macrophage_mouse     ,,,,,,,
236,V945,3.533567126,2.135698783,Endothelial_mouse     ,,,,,,,
237,V1791,2.930366273,1.944778172,Endothelial_mouse     ,,,,,,,
238,V3907,3.896059595,2.555497347,Endothelial_mouse     ,,,,,,,
239,V2187,3.749509925,2.341602562,Macrophage_mouse     ,,,,,,,
240,V2807,3.784205944,1.836964614,Endothelial_mouse     ,,,,,,,
241,V3913,5.252327453,1.96034614,Endothelial_mouse     ,,,,,,,
242,V4099,3.496749112,1.849524041,Endothelial_mouse     ,,,,,,,
243,V6063,3.442344633,2.098000111,Endothelial_mouse     ,,,,,,,
244,V2206,3.984631757,1.571937798,Macrophage_mouse     ,,,,,,,
245,V1896,3.56814492,1.161352771,Endothelial_mouse     ,,,,,,,
246,V5328,4.025463804,1.416796203,Endothelial_mouse     ,,,,,,,
247,V2280,3.893761853,0.965483603,Macrophage_mouse     ,,,,,,,
248,V3595,3.3381924,1.885454501,Endothelial_mouse     ,,,,,,,
249,V4814,4.284258562,1.05783115,Endothelial_mouse     ,,,,,,,
250,V4943,4.104554873,1.43218306,Endothelial_mouse     ,,,,,,,
251,V5877,3.466812547,1.070247973,Endothelial_mouse     ,,,,,,,
252,V33,4.366395346,1.704656528,Endothelial_mouse     ,,,,,,,
253,V2282,4.261730558,1.335337699,Macrophage_mouse     ,,,,,,,
254,V3172,3.864494796,1.022400878,Endothelial_mouse     ,,,,,,,
255,V3457,3.316751342,1.02172332,Endothelial_mouse     ,,,,,,,
256,V2346,4.412963161,1.752853189,Macrophage_mouse     ,,,,,,,
257,V230,4.594355038,1.648672029,Endothelial_mouse     ,,,,,,,
258,V1773,1.917671099,3.209176116,Endothelial_mouse     ,,,,,,,
259,V1774,3.3077716,1.225782995,Endothelial_mouse     ,,,,,,,
260,V2980,4.610349424,2.003040195,Endothelial_mouse     ,,,,,,,
261,V3141,3.849540704,1.715397357,Endothelial_mouse     ,,,,,,,
262,V2478,3.283514074,1.705741809,Macrophage_mouse     ,,,,,,,
263,V997,3.290359592,1.532366072,Endothelial_mouse     ,,,,,,,
264,V1587,3.890950631,1.448560382,Endothelial_mouse     ,,,,,,,
265,V1811,3.288902178,1.527581342,Endothelial_mouse     ,,,,,,,
266,V3765,3.497854946,1.349141661,Endothelial_mouse     ,,,,,,,
267,V939,4.653288919,1.812425412,Endothelial_mouse     ,,,,,,,
268,V2567,4.122351465,2.470871584,Macrophage_mouse     ,,,,,,,
269,V2676,4.217889395,1.861571489,Macrophage_mouse     ,,,,,,,
270,V640,4.050190211,1.630861125,Endothelial_mouse     ,,,,,,,
271,V2786,3.302660893,2.831263221,Macrophage_mouse     ,,,,,,,
272,V6294,3.51714773,3.549558537,Endothelial_mouse     ,,,,,,,
273,V6523,3.87915689,2.655341994,Endothelial_mouse     ,,,,,,,
274,V6769,3.414726543,2.351517382,Endothelial_mouse     ,,,,,,,
275,V2823,3.931173726,2.338089431,Macrophage_mouse     ,,,,,,,
276,V1443,4.144870451,2.253933161,Endothelial_mouse     ,,,,,,,
277,V5790,3.230001277,3.824793248,Endothelial_mouse     ,,,,,,,
278,V2830,3.643936194,2.557510327,Macrophage_mouse     ,,,,,,,
279,V4418,3.507493986,2.766089266,Endothelial_mouse     ,,,,,,,
280,V4717,3.426213295,2.218569325,Endothelial_mouse     ,,,,,,,
281,V5839,3.49631521,2.380225165,Endothelial_mouse     ,,,,,,,
282,V2836,3.659986375,2.190136112,Macrophage_mouse     ,,,,,,,
283,V2171,3.608618922,2.352544451,Endothelial_mouse     ,,,,,,,
284,V2875,3.178014513,2.064191503,Macrophage_mouse     ,,,,,,,
285,V2952,3.683444152,1.142237156,Macrophage_mouse     ,,,,,,,
286,V724,4.028434332,1.023291895,Endothelial_mouse     ,,,,,,,
287,V1656,3.801951532,1.390574737,Endothelial_mouse     ,,,,,,,
288,V1927,4.051730297,1.236205558,Endothelial_mouse     ,,,,,,,
289,V3360,4.379392977,0.946391081,Macrophage_mouse     ,,,,,,,
290,V1359,3.41150102,1.443998104,Endothelial_mouse     ,,,,,,,
291,V1988,5.270824721,2.791034957,Endothelial_mouse     ,,,,,,,
292,V2244,4.341716227,1.772516012,Endothelial_mouse     ,,,,,,,
293,V2762,3.376736167,1.171924988,Endothelial_mouse     ,,,,,,,
294,V5117,4.426681016,0.799024344,Endothelial_mouse     ,,,,,,,
295,V5178,4.456528058,0.905843919,Endothelial_mouse     ,,,,,,,
296,V5903,4.14027725,0.93829468,Endothelial_mouse     ,,,,,,,
297,V6958,4.385839723,1.153693393,Endothelial_mouse     ,,,,,,,
298,V3389,3.360850144,1.115969449,Macrophage_mouse     ,,,,,,,
299,V3408,4.076432587,1.165225021,Macrophage_mouse     ,,,,,,,
300,V3425,3.248639101,1.875241612,Macrophage_mouse     ,,,,,,,
301,V3887,3.610107417,1.879290146,Endothelial_mouse     ,,,,,,,
302,V4516,3.118316936,1.963655291,Endothelial_mouse     ,,,,,,,
303,V159,3.402676795,2.215649789,Endothelial_mouse     ,,,,,,,
304,V3446,3.455874803,1.96137813,Macrophage_mouse     ,,,,,,,
305,V1900,3.309178333,1.843368541,Endothelial_mouse     ,,,,,,,
306,V3528,4.332589169,1.496387316,Macrophage_mouse     ,,,,,,,
307,V3535,3.460317259,1.55652573,Macrophage_mouse     ,,,,,,,
308,V3586,4.487770371,2.55533728,Macrophage_mouse     ,,,,,,,
309,V5057,4.680884955,1.767154921,Endothelial_mouse     ,,,,,,,
310,V3594,4.199742705,1.100561161,Macrophage_mouse     ,,,,,,,
311,V2635,4.591606208,1.261167169,Endothelial_mouse     ,,,,,,,
312,V195,3.648564728,0.826215662,Endothelial_mouse     ,,,,,,,
313,V3613,3.713195379,0.549452214,Macrophage_mouse     ,,,,,,,
314,V384,3.955291308,0.761637255,Endothelial_mouse     ,,,,,,,
315,V4670,3.74040756,0.972346505,Endothelial_mouse     ,,,,,,,
316,V5251,3.763967924,0.787861264,Endothelial_mouse     ,,,,,,,
317,V3617,2.47572892,1.568570154,Macrophage_mouse     ,,,,,,,
318,V2691,2.831439835,1.566698491,Endothelial_mouse     ,,,,,,,
319,V3698,4.675659685,2.339187618,Macrophage_mouse     ,,,,,,,
320,V3042,4.402531596,2.382087761,Endothelial_mouse     ,,,,,,,
321,V4761,5.159682811,2.884577207,Endothelial_mouse     ,,,,,,,
322,V5725,4.34125932,1.834437676,Endothelial_mouse     ,,,,,,,
323,V3701,3.617628762,1.561705765,Macrophage_mouse     ,,,,,,,
324,V3816,4.098845683,0.75953674,Macrophage_mouse     ,,,,,,,
325,V370,4.899715997,2.371975815,Endothelial_mouse     ,,,,,,,
326,V1941,4.08813646,0.602714733,Endothelial_mouse     ,,,,,,,
327,V4150,4.140629486,0.666025253,Endothelial_mouse     ,,,,,,,
328,V3818,2.969918453,2.13035534,Macrophage_mouse     ,,,,,,,
329,V43,3.078896042,1.148259335,Endothelial_mouse     ,,,,,,,
330,V3919,2.677855318,1.246831085,Macrophage_mouse     ,,,,,,,
331,V101,2.551295327,1.192550482,Endothelial_mouse     ,,,,,,,
332,V125,3.729004565,3.018250395,Endothelial_mouse     ,,,,,,,
333,V3127,2.646681999,1.144627561,Endothelial_mouse     ,,,,,,,
334,V4794,2.585159102,1.158412636,Endothelial_mouse     ,,,,,,,
335,V3957,3.260393047,2.486071097,Macrophage_mouse     ,,,,,,,
336,V3965,4.204532016,1.570010775,Macrophage_mouse     ,,,,,,,
337,V4003,4.583443203,2.674371778,Macrophage_mouse     ,,,,,,,
338,V284,5.012709919,1.020964658,Endothelial_mouse     ,,,,,,,
339,V1864,4.899433438,1.272011898,Endothelial_mouse     ,,,,,,,
340,V3355,5.457586025,2.706187624,Endothelial_mouse     ,,,,,,,
341,V4608,4.090899822,3.118356653,Endothelial_mouse     ,,,,,,,
342,V6696,6.121456419,2.929011599,Endothelial_mouse     ,,,,,,,
343,V4024,3.804855577,1.855432229,Macrophage_mouse     ,,,,,,,
344,V4106,4.454475489,1.199895576,Macrophage_mouse     ,,,,,,,
345,V4183,3.898340191,2.254251228,Macrophage_mouse     ,,,,,,,
346,V4282,3.040368488,1.317634319,Macrophage_mouse     ,,,,,,,
347,V2103,2.880994022,1.370917665,Endothelial_mouse     ,,,,,,,
348,V2590,3.156605389,1.63104375,Endothelial_mouse     ,,,,,,,
349,V4285,3.451932527,2.458522971,Macrophage_mouse     ,,,,,,,
350,V4350,3.0039384,2.600983748,Endothelial_mouse     ,,,,,,,
351,V4294,2.704156345,2.894981361,Macrophage_mouse     ,,,,,,,
352,V5988,3.176157858,3.75241503,Endothelial_mouse     ,,,,,,,
353,V4426,4.905428175,0.892398996,Macrophage_mouse     ,,,,,,,
354,V2689,3.769959559,1.061719138,Endothelial_mouse     ,,,,,,,
355,V4477,3.637362056,2.10372025,Macrophage_mouse     ,,,,,,,
356,V4513,2.960735457,2.62786521,Macrophage_mouse     ,,,,,,,
357,V4521,4.160174778,1.845898443,Macrophage_mouse     ,,,,,,,
358,V4604,3.181368961,1.865912151,Macrophage_mouse     ,,,,,,,
359,V3894,2.901463988,1.816374419,Endothelial_mouse     ,,,,,,,
360,V4737,3.466302249,2.212999999,Macrophage_mouse     ,,,,,,,
361,V5264,2.854660996,2.832078868,Macrophage_mouse     ,,,,,,,
362,V5447,4.245368675,1.621480304,Macrophage_mouse     ,,,,,,,
363,V5453,4.701690319,2.132949462,Macrophage_mouse     ,,,,,,,
364,V2831,4.909454584,2.135946463,Endothelial_mouse     ,,,,,,,
365,V5579,4.737924563,0.972952886,Macrophage_mouse     ,,,,,,,
366,V5082,4.168379143,0.902012003,Endothelial_mouse     ,,,,,,,
367,V5597,4.000899598,1.237617312,Macrophage_mouse     ,,,,,,,
368,V1070,4.061994032,1.047490071,Endothelial_mouse     ,,,,,,,
369,V5669,3.625895987,1.4678178,Macrophage_mouse     ,,,,,,,
370,V2402,5.123084062,2.716433494,Endothelial_mouse     ,,,,,,,
371,V5682,2.538532665,2.951102762,Macrophage_mouse     ,,,,,,,
372,V5924,4.066833081,2.840308137,Macrophage_mouse     ,,,,,,,
373,V178,3.549542215,2.739318952,Endothelial_mouse     ,,,,,,,
374,V1696,4.065108928,3.111874472,Endothelial_mouse     ,,,,,,,
375,V5932,3.458825524,1.744429013,Macrophage_mouse     ,,,,,,,
376,V2059,3.27912972,1.856015638,Endothelial_mouse     ,,,,,,,
377,V5939,3.490760491,2.301165775,Macrophage_mouse     ,,,,,,,
378,V2190,3.31027979,2.339513893,Endothelial_mouse     ,,,,,,,
