Dim1	Dim2	Dataset		
X34	1.69650938	13.78694044	rna	Stromal cell_Ccl11 high(Uterus)
X35	5.819849033	-3.96818556	rna	Stromal cell_Ccl11 high(Uterus)
X36	9.396584053	-4.046634809	rna	Stromal cell_Ccl11 high(Uterus)
X37	7.374902267	-20.98536696	rna	Stromal cell_Ccl11 high(Uterus)
X38	2.614935179	-0.010058538	rna	Stromal cell_Ccl11 high(Uterus)
X39	6.290458698	-3.712524072	rna	Stromal cell_Ccl11 high(Uterus)
X40	7.311211128	-20.7252046	rna	Stromal cell_Ccl11 high(Uterus)
X41	2.246404667	-1.231931345	rna	Stromal cell_Ccl11 high(Uterus)
X42	2.632075567	-1.328463451	rna	Stromal cell_Ccl11 high(Uterus)
X43	5.431456585	-3.410369054	rna	Stromal cell_Ccl11 high(Uterus)
X44	5.790276546	-18.17028822	rna	Stromal cell_Ccl11 high(Uterus)
X45	2.387694616	-1.336800233	rna	Stromal cell_Ccl11 high(Uterus)
X46	11.88540699	-3.408692972	rna	Stromal cell_Ccl11 high(Uterus)
X47	3.846198101	-2.284253255	rna	Stromal cell_Ccl11 high(Uterus)
X48	2.231547375	-0.093652145	rna	Stromal cell_Ccl11 high(Uterus)
X49	5.724843044	-3.607770101	rna	Stromal cell_Ccl11 high(Uterus)
X0.2	-0.693494837	-0.316848413	rna	Endothelial cell_Tm4sf1 high(Uterus)
X1.1	-3.141913157	0.345182045	rna	Endothelial cell_Tm4sf1 high(Uterus)
X2.1	-3.114911776	-1.476618425	rna	Endothelial cell_Tm4sf1 high(Uterus)
X3.1	-2.697680335	-0.643062965	rna	Endothelial cell_Tm4sf1 high(Uterus)
X4.1	1.414498348	-0.386664764	rna	Endothelial cell_Tm4sf1 high(Uterus)
X5.1	-8.067467194	2.828897818	rna	Endothelial cell_Tm4sf1 high(Uterus)
X6.1	-3.772990446	-0.598685876	rna	Endothelial cell_Tm4sf1 high(Uterus)
X7.1	2.280262728	0.121033057	rna	Endothelial cell_Tm4sf1 high(Uterus)
X8.1	-4.702289801	0.10978268	rna	Endothelial cell_Tm4sf1 high(Uterus)
X9.1	-4.561716538	1.788391396	rna	Endothelial cell_Tm4sf1 high(Uterus)
X10.1	-4.213922482	1.73010455	rna	Endothelial cell_Tm4sf1 high(Uterus)
X11.1	-3.970203619	0.273827179	rna	Endothelial cell_Tm4sf1 high(Uterus)
X12.1	3.036283512	-0.551036135	rna	Endothelial cell_Tm4sf1 high(Uterus)
X13.1	10.01618244	-3.645167963	rna	Endothelial cell_Tm4sf1 high(Uterus)
X14.1	-3.69228981	-1.343407289	rna	Endothelial cell_Tm4sf1 high(Uterus)
X15.1	11.70718243	-3.363835947	rna	Endothelial cell_Tm4sf1 high(Uterus)
X16.1	-7.539018612	1.584160431	rna	Endothelial cell_Tm4sf1 high(Uterus)
X17.1	-3.546539526	-1.710072176	rna	Endothelial cell_Tm4sf1 high(Uterus)
X18.1	2.991442222	-0.174754993	rna	Endothelial cell_Tm4sf1 high(Uterus)
X19.1	-6.861911755	3.2431439	rna	Endothelial cell_Tm4sf1 high(Uterus)
X20.1	-8.113099556	2.019302174	rna	Endothelial cell_Tm4sf1 high(Uterus)
X21.1	-3.059185963	-1.711843626	rna	Endothelial cell_Tm4sf1 high(Uterus)
X22.1	16.22403099	-5.935153619	rna	Endothelial cell_Tm4sf1 high(Uterus)
X23.1	-5.059907894	0.469080313	rna	Endothelial cell_Tm4sf1 high(Uterus)
X24.1	-2.687209587	0.21356295	rna	Endothelial cell_Tm4sf1 high(Uterus)
X25.1	-2.548947911	0.842910274	rna	Endothelial cell_Tm4sf1 high(Uterus)
X26.1	-1.922512453	0.320561989	rna	Endothelial cell_Tm4sf1 high(Uterus)
X27.1	-2.97267292	-1.577094928	rna	Endothelial cell_Tm4sf1 high(Uterus)
X28.1	-1.619990986	0.61985354	rna	Endothelial cell_Tm4sf1 high(Uterus)
X29.1	-7.485689144	1.689814075	rna	Endothelial cell_Tm4sf1 high(Uterus)
X30.1	-8.10847662	2.849059447	rna	Endothelial cell_Tm4sf1 high(Uterus)
X31.1	-2.430283647	-0.8080851	rna	Endothelial cell_Tm4sf1 high(Uterus)
X32.1	-2.318960529	0.74242942	rna	Endothelial cell_Tm4sf1 high(Uterus)
X33.1	-5.75560854	1.836286171	rna	Endothelial cell_Tm4sf1 high(Uterus)
X34.1	-3.711341124	-1.442415611	rna	Endothelial cell_Tm4sf1 high(Uterus)
X35.1	-8.24397562	2.313435658	rna	Endothelial cell_Tm4sf1 high(Uterus)
X36.1	-1.484320532	-0.226204888	rna	Endothelial cell_Tm4sf1 high(Uterus)
X37.1	-4.116336565	0.13585399	rna	Endothelial cell_Tm4sf1 high(Uterus)
X38.1	-2.272131782	-0.437112943	rna	Endothelial cell_Tm4sf1 high(Uterus)
X39.1	-7.53545044	2.430700167	rna	Endothelial cell_Tm4sf1 high(Uterus)
X40.1	-2.498196583	-1.285960094	rna	Endothelial cell_Tm4sf1 high(Uterus)
X41.1	8.589314003	-4.097993986	rna	Endothelial cell_Tm4sf1 high(Uterus)
X42.1	-3.89216135	1.26704435	rna	Endothelial cell_Tm4sf1 high(Uterus)
X43.1	-1.988614481	0.878830119	rna	Endothelial cell_Tm4sf1 high(Uterus)
X44.1	-3.940540533	-1.09920849	rna	Endothelial cell_Tm4sf1 high(Uterus)
X45.1	-1.317139964	0.099257096	rna	Endothelial cell_Tm4sf1 high(Uterus)
X46.1	-3.125192146	-1.694928066	rna	Endothelial cell_Tm4sf1 high(Uterus)
X47.1	-4.90952466	0.528244003	rna	Endothelial cell_Tm4sf1 high(Uterus)
X48.1	-7.270877819	3.379959091	rna	Endothelial cell_Tm4sf1 high(Uterus)
X49.1	-2.456977229	0.60417889	rna	Endothelial cell_Tm4sf1 high(Uterus)
X0.3	7.155969162	-19.64744009	rna	Stromal cell_Hsd11b2 high(Uterus)
X1.2	-5.200715523	1.304556063	rna	Stromal cell_Hsd11b2 high(Uterus)
X2.2	-3.814391833	-0.940261261	rna	Stromal cell_Hsd11b2 high(Uterus)
X3.2	-1.245822098	-0.303218261	rna	Stromal cell_Hsd11b2 high(Uterus)
X4.2	1.976483126	-0.219305531	rna	Stromal cell_Hsd11b2 high(Uterus)
X5.2	2.206932325	-1.165591375	rna	Stromal cell_Hsd11b2 high(Uterus)
X6.2	-4.725925188	1.052154525	rna	Stromal cell_Hsd11b2 high(Uterus)
X7.2	-3.684418659	-0.229663984	rna	Stromal cell_Hsd11b2 high(Uterus)
X8.2	-3.330093126	0.962042078	rna	Stromal cell_Hsd11b2 high(Uterus)
X9.2	-3.293464642	0.405145808	rna	Stromal cell_Hsd11b2 high(Uterus)
X10.2	-2.689228754	-0.618492738	rna	Stromal cell_Hsd11b2 high(Uterus)
X11.2	-3.864629011	-0.309584991	rna	Stromal cell_Hsd11b2 high(Uterus)
X12.2	2.386762638	-1.149212972	rna	Stromal cell_Hsd11b2 high(Uterus)
X13.2	-3.806803923	-1.169807569	rna	Stromal cell_Hsd11b2 high(Uterus)
X14.2	12.16184666	22.06888376	rna	Stromal cell_Hsd11b2 high(Uterus)
X15.2	-6.604042511	2.732617243	rna	Stromal cell_Hsd11b2 high(Uterus)
X16.2	-1.643127184	-0.136281148	rna	Stromal cell_Hsd11b2 high(Uterus)
X17.2	-3.896776896	1.31749387	rna	Stromal cell_Hsd11b2 high(Uterus)
X18.2	7.298820991	-20.31086172	rna	Stromal cell_Hsd11b2 high(Uterus)
X19.2	-1.959216695	-0.08503081	rna	Stromal cell_Hsd11b2 high(Uterus)
X20.2	-3.668794851	-1.085760013	rna	Stromal cell_Hsd11b2 high(Uterus)
X21.2	-0.032987933	-0.226221577	rna	Stromal cell_Hsd11b2 high(Uterus)
X22.2	7.158802528	-20.03287901	rna	Stromal cell_Hsd11b2 high(Uterus)
X23.2	7.230362434	-20.2431909	rna	Stromal cell_Hsd11b2 high(Uterus)
X24.2	-4.051498633	-0.622083084	rna	Stromal cell_Hsd11b2 high(Uterus)
X25.2	0.877054353	-0.292215721	rna	Stromal cell_Hsd11b2 high(Uterus)
X26.2	5.399045963	-17.83556952	rna	Stromal cell_Hsd11b2 high(Uterus)
X27.2	-1.96073107	-0.577038065	rna	Stromal cell_Hsd11b2 high(Uterus)
X28.2	-3.821003418	-0.835754768	rna	Stromal cell_Hsd11b2 high(Uterus)
X29.2	-3.207687359	-0.128818528	rna	Stromal cell_Hsd11b2 high(Uterus)
X30.2	7.254883308	-20.18931784	rna	Stromal cell_Hsd11b2 high(Uterus)
X31.2	-7.771846752	1.78834249	rna	Stromal cell_Hsd11b2 high(Uterus)
X32.2	3.02538063	-0.850792305	rna	Stromal cell_Hsd11b2 high(Uterus)
X33.2	-2.745780807	0.241695627	rna	Stromal cell_Hsd11b2 high(Uterus)
X34.2	1.695055742	13.78827177	rna	Stromal cell_Hsd11b2 high(Uterus)
X35.2	-2.457687836	-1.216999904	rna	Stromal cell_Hsd11b2 high(Uterus)
X36.2	-6.325570564	2.825544222	rna	Stromal cell_Hsd11b2 high(Uterus)
X37.2	3.08599617	-0.659371749	rna	Stromal cell_Hsd11b2 high(Uterus)
X38.2	-4.002414446	-0.773111955	rna	Stromal cell_Hsd11b2 high(Uterus)
X39.2	7.048713226	-19.55255331	rna	Stromal cell_Hsd11b2 high(Uterus)
X40.2	2.877922315	-0.361253754	rna	Stromal cell_Hsd11b2 high(Uterus)
X41.2	-3.507098417	1.649134739	rna	Stromal cell_Hsd11b2 high(Uterus)
X42.2	-2.253198128	0.499678656	rna	Stromal cell_Hsd11b2 high(Uterus)
X43.2	-1.829960566	0.433581873	rna	Stromal cell_Hsd11b2 high(Uterus)
X44.2	-3.696631651	1.514167844	rna	Stromal cell_Hsd11b2 high(Uterus)
X45.2	-1.845044713	-0.060667888	rna	Stromal cell_Hsd11b2 high(Uterus)
X46.2	-3.338059645	-1.116396562	rna	Stromal cell_Hsd11b2 high(Uterus)
X47.2	-2.930112581	-1.069795028	rna	Stromal cell_Hsd11b2 high(Uterus)
X48.2	7.218245048	-20.09417929	rna	Stromal cell_Hsd11b2 high(Uterus)
X49.2	-1.088743271	-0.415650264	rna	Stromal cell_Hsd11b2 high(Uterus)
X0.4	5.427815456	-17.84228148	rna	Stromal cell_Has1 high(Uterus)
X1.3	11.58860256	-3.349280969	rna	Stromal cell_Has1 high(Uterus)
X2.3	11.36043407	23.57130609	rna	Stromal cell_Has1 high(Uterus)
X3.3	0.889185805	-0.236248151	rna	Stromal cell_Has1 high(Uterus)
X4.3	1.714994688	13.76881586	rna	Stromal cell_Has1 high(Uterus)
X5.3	5.685493965	-3.605614797	rna	Stromal cell_Has1 high(Uterus)
X6.3	2.241481323	-1.354746954	rna	Stromal cell_Has1 high(Uterus)
X7.3	9.732918281	-3.854979173	rna	Stromal cell_Has1 high(Uterus)
X8.3	6.308844585	-3.806703702	rna	Stromal cell_Has1 high(Uterus)
X9.3	0.738466163	22.39509378	rna	Stromal cell_Has1 high(Uterus)
X10.3	1.664913196	13.81815325	rna	Stromal cell_Has1 high(Uterus)
X11.3	11.46172478	23.47291933	rna	Stromal cell_Has1 high(Uterus)
X12.3	7.312945862	-20.35268606	rna	Stromal cell_Has1 high(Uterus)
X13.3	17.82535126	-3.608819143	rna	Stromal cell_Has1 high(Uterus)
X14.3	-2.031466227	0.404815122	rna	Stromal cell_Has1 high(Uterus)
X15.3	11.95409824	-3.412590639	rna	Stromal cell_Has1 high(Uterus)
X16.3	-1.048752216	-0.330975787	rna	Stromal cell_Has1 high(Uterus)
X17.3	8.71749546	-4.06080927	rna	Stromal cell_Has1 high(Uterus)
X18.3	1.702043314	13.78181063	rna	Stromal cell_Has1 high(Uterus)
X19.3	10.63348438	24.13162409	rna	Stromal cell_Has1 high(Uterus)
X20.3	3.83535244	-2.962692396	rna	Stromal cell_Has1 high(Uterus)
X21.3	6.944416542	-19.39605154	rna	Stromal cell_Has1 high(Uterus)
X22.3	6.34643938	-3.797156469	rna	Stromal cell_Has1 high(Uterus)
X23.3	8.484012146	-3.999232904	rna	Stromal cell_Has1 high(Uterus)
X24.3	7.46250679	-21.00428976	rna	Stromal cell_Has1 high(Uterus)
X25.3	1.921770115	-0.854553358	rna	Stromal cell_Has1 high(Uterus)
X26.3	7.362324257	-20.84948553	rna	Stromal cell_Has1 high(Uterus)
X27.3	10.69418194	24.09015642	rna	Stromal cell_Has1 high(Uterus)
X28.3	4.532481689	-3.166141168	rna	Stromal cell_Has1 high(Uterus)
X29.3	11.2122102	23.69183527	rna	Stromal cell_Has1 high(Uterus)
X30.3	10.66069843	24.10734926	rna	Stromal cell_Has1 high(Uterus)
X31.3	2.551208515	-0.932114498	rna	Stromal cell_Has1 high(Uterus)
X32.3	-5.991162758	1.629574104	rna	Stromal cell_Has1 high(Uterus)
X33.3	-1.647307675	-0.398810641	rna	Stromal cell_Has1 high(Uterus)
X34.3	-3.631982546	0.27733837	rna	Stromal cell_Has1 high(Uterus)
X35.3	7.235337753	-20.76623739	rna	Stromal cell_Has1 high(Uterus)
X36.3	7.482162018	-21.10867705	rna	Stromal cell_Has1 high(Uterus)
X37.3	11.85201981	22.81324373	rna	Stromal cell_Has1 high(Uterus)
X38.3	4.496820946	-3.304493562	rna	Stromal cell_Has1 high(Uterus)
X39.3	1.612167377	-0.546195284	rna	Stromal cell_Has1 high(Uterus)
X40.3	11.78662159	23.09476457	rna	Stromal cell_Has1 high(Uterus)
X41.3	5.855391521	-18.27404036	rna	Stromal cell_Has1 high(Uterus)
X42.3	5.630475063	-3.411821023	rna	Stromal cell_Has1 high(Uterus)
X43.3	18.7096019	-2.549318449	rna	Stromal cell_Has1 high(Uterus)
X44.3	7.462527771	-21.0968286	rna	Stromal cell_Has1 high(Uterus)
X45.3	11.94533302	22.49721704	rna	Stromal cell_Has1 high(Uterus)
X46.3	-3.167902928	0.205613001	rna	Stromal cell_Has1 high(Uterus)
X47.3	1.652817507	-0.245704428	rna	Stromal cell_Has1 high(Uterus)
X48.3	-8.162239056	2.710523947	rna	Stromal cell_Has1 high(Uterus)
X49.3	1.6940489	13.79025827	rna	Stromal cell_Has1 high(Uterus)
X0.5	11.32879784	23.58737169	rna	Glandular epithelium_Sprr2f high(Uterus)
X1.4	5.345117111	-17.75015463	rna	Glandular epithelium_Sprr2f high(Uterus)
X2.4	0.742173571	22.42139612	rna	Glandular epithelium_Sprr2f high(Uterus)
X3.4	1.694720526	13.78884016	rna	Glandular epithelium_Sprr2f high(Uterus)
X4.4	6.915916462	-19.34441771	rna	Glandular epithelium_Sprr2f high(Uterus)
X5.4	8.056932945	-21.63061918	rna	Glandular epithelium_Sprr2f high(Uterus)
X6.4	0.624984522	23.11037432	rna	Glandular epithelium_Sprr2f high(Uterus)
X7.4	1.693504114	13.78988825	rna	Glandular epithelium_Sprr2f high(Uterus)
X8.4	5.150655765	-17.61393179	rna	Glandular epithelium_Sprr2f high(Uterus)
X9.4	10.84171631	23.98346887	rna	Glandular epithelium_Sprr2f high(Uterus)
X10.4	0.928181786	18.62322794	rna	Glandular epithelium_Sprr2f high(Uterus)
X11.4	0.934978146	18.55766474	rna	Glandular epithelium_Sprr2f high(Uterus)
X12.4	2.497591514	8.779478415	rna	Glandular epithelium_Sprr2f high(Uterus)
X13.4	0.932041545	18.58450876	rna	Glandular epithelium_Sprr2f high(Uterus)
X14.4	-2.832845311	-0.448446886	rna	Glandular epithelium_Sprr2f high(Uterus)
X15.4	1.695852299	13.78946195	rna	Glandular epithelium_Sprr2f high(Uterus)
X16.4	2.495360155	8.775551661	rna	Glandular epithelium_Sprr2f high(Uterus)
X17.4	12.02486469	21.6964644	rna	Glandular epithelium_Sprr2f high(Uterus)
X18.4	2.495879907	8.818278655	rna	Glandular epithelium_Sprr2f high(Uterus)
X19.4	3.051392097	-0.267581359	rna	Glandular epithelium_Sprr2f high(Uterus)
X20.4	2.493525524	8.512746199	rna	Glandular epithelium_Sprr2f high(Uterus)
X21.4	1.632607717	14.12819181	rna	Glandular epithelium_Sprr2f high(Uterus)
X22.4	5.840599556	-18.26361479	rna	Glandular epithelium_Sprr2f high(Uterus)
X23.4	5.729934711	-18.14764418	rna	Glandular epithelium_Sprr2f high(Uterus)
X24.4	2.500142355	8.794159277	rna	Glandular epithelium_Sprr2f high(Uterus)
X25.4	2.496532459	8.696610316	rna	Glandular epithelium_Sprr2f high(Uterus)
X26.4	11.00130989	23.85445581	rna	Glandular epithelium_Sprr2f high(Uterus)
X27.4	5.234364528	-17.64262976	rna	Glandular epithelium_Sprr2f high(Uterus)
X28.4	5.475658436	-17.97847952	rna	Glandular epithelium_Sprr2f high(Uterus)
X29.4	-2.150425654	0.083218797	rna	Glandular epithelium_Sprr2f high(Uterus)
X30.4	2.493854542	8.489143713	rna	Glandular epithelium_Sprr2f high(Uterus)
X31.4	5.551339168	-17.92185225	rna	Glandular epithelium_Sprr2f high(Uterus)
X32.4	12.24105122	21.91319261	rna	Glandular epithelium_Sprr2f high(Uterus)
X33.4	-2.922825437	-1.018196479	rna	Glandular epithelium_Sprr2f high(Uterus)
X34.4	5.497427959	-17.91115393	rna	Glandular epithelium_Sprr2f high(Uterus)
X35.4	2.491940279	8.488361224	rna	Glandular epithelium_Sprr2f high(Uterus)
X36.4	2.499351997	8.2676066	rna	Glandular epithelium_Sprr2f high(Uterus)
X37.4	-0.588318418	0.14041911	rna	Glandular epithelium_Sprr2f high(Uterus)
X38.4	0.8747194	21.04857622	rna	Glandular epithelium_Sprr2f high(Uterus)
X39.4	0.93001153	18.62209307	rna	Glandular epithelium_Sprr2f high(Uterus)
X40.4	1.693899412	13.79060541	rna	Glandular epithelium_Sprr2f high(Uterus)
X41.4	2.493634004	8.545023306	rna	Glandular epithelium_Sprr2f high(Uterus)
X42.4	2.49704792	8.674885138	rna	Glandular epithelium_Sprr2f high(Uterus)
X43.4	2.481742878	8.828593596	rna	Glandular epithelium_Sprr2f high(Uterus)
X44.4	2.495707292	8.399665698	rna	Glandular epithelium_Sprr2f high(Uterus)
X45.4	11.94553139	22.55828462	rna	Glandular epithelium_Sprr2f high(Uterus)
X46.4	2.49332406	8.829825266	rna	Glandular epithelium_Sprr2f high(Uterus)
X47.4	2.495579023	8.798147067	rna	Glandular epithelium_Sprr2f high(Uterus)
X48.4	0.618079324	22.86964784	rna	Glandular epithelium_Sprr2f high(Uterus)
X49.4	2.497447986	8.721004828	rna	Glandular epithelium_Sprr2f high(Uterus)
X0.6	-7.712343674	2.62830375	rna	Macrophage(Uterus)
X1.5	-4.753064852	-20.04902662	rna	Macrophage(Uterus)
X2.5	4.328847904	-2.697473184	rna	Macrophage(Uterus)
X3.5	2.336728353	-1.472899333	rna	Macrophage(Uterus)
X4.5	-4.171825628	1.876886143	rna	Macrophage(Uterus)
X5.5	-2.566822987	1.193415596	rna	Macrophage(Uterus)
X6.5	-7.62493227	1.583461045	rna	Macrophage(Uterus)
X7.5	0.902941246	-0.433326975	rna	Macrophage(Uterus)
X8.5	-6.555872898	2.640077098	rna	Macrophage(Uterus)
X9.5	-3.475975733	-1.343587772	rna	Macrophage(Uterus)
X10.5	-6.970819931	1.729274496	rna	Macrophage(Uterus)
X11.5	-4.076474171	1.435641131	rna	Macrophage(Uterus)
X12.5	12.26170971	21.93191324	rna	Macrophage(Uterus)
X13.5	-3.467778425	1.44423896	rna	Macrophage(Uterus)
X14.5	-3.695181828	-1.180046217	rna	Macrophage(Uterus)
X15.5	1.632772941	-0.58318247	rna	Macrophage(Uterus)
X16.5	4.054833908	-3.042004243	rna	Macrophage(Uterus)
X17.5	7.51319458	-21.13060965	rna	Macrophage(Uterus)
X18.5	7.270668526	-20.45765509	rna	Macrophage(Uterus)
X19.5	11.98862602	21.82945047	rna	Macrophage(Uterus)
X20.5	1.977010269	-0.381529109	rna	Macrophage(Uterus)
X21.5	-3.576062422	0.86443971	rna	Macrophage(Uterus)
X22.5	8.08593132	-3.977048532	rna	Macrophage(Uterus)
X23.5	-1.628558498	0.226250156	rna	Macrophage(Uterus)
X24.5	11.05266907	23.82071672	rna	Macrophage(Uterus)
X25.5	-8.029768448	2.141957744	rna	Macrophage(Uterus)
X26.5	-1.00751397	0.17860411	rna	Macrophage(Uterus)
X27.5	-7.449453812	2.421104415	rna	Macrophage(Uterus)
X28.5	12.10110237	21.70356356	rna	Macrophage(Uterus)
X29.5	18.68591644	-2.66534342	rna	Macrophage(Uterus)
X30.5	3.884581585	-2.473466531	rna	Macrophage(Uterus)
X31.5	-1.119676206	0.147786602	rna	Macrophage(Uterus)
X32.5	0.622738976	22.55444132	rna	Macrophage(Uterus)
X33.5	4.430032272	-3.198265211	rna	Macrophage(Uterus)
X34.5	2.68639781	-0.248580591	rna	Macrophage(Uterus)
X35.5	-1.954526405	0.690004631	rna	Macrophage(Uterus)
X36.5	8.375100632	-4.001394407	rna	Macrophage(Uterus)
X37.5	-7.732597809	2.32692562	rna	Macrophage(Uterus)
X38.5	-0.315236252	-0.214586751	rna	Macrophage(Uterus)
X39.5	-2.846811037	-1.319095508	rna	Macrophage(Uterus)
X40.5	7.504582901	-3.829420702	rna	Macrophage(Uterus)
X41.5	-7.87939785	2.182574018	rna	Macrophage(Uterus)
X42.5	-3.539705019	-0.504762784	rna	Macrophage(Uterus)
X43.5	-6.672011833	1.786078437	rna	Macrophage(Uterus)
X44.5	2.933958073	-0.554635898	rna	Macrophage(Uterus)
X45.5	-4.78177927	1.75247617	rna	Macrophage(Uterus)
X46.5	1.522047062	-0.243837492	rna	Macrophage(Uterus)
X47.5	-2.098475676	0.158809288	rna	Macrophage(Uterus)
X48.5	2.1040137	-0.485751168	rna	Macrophage(Uterus)
X49.5	7.385633964	-21.16991247	rna	Macrophage(Uterus)
X0.7	1.693787117	13.79068361	rna	NK cell(Uterus)
X1.6	-1.137103375	0.380482181	rna	NK cell(Uterus)
X2.6	-4.738443356	1.712977632	rna	NK cell(Uterus)
X3.6	-4.216426354	0.333335622	rna	NK cell(Uterus)
X4.6	-0.715358834	-0.342349187	rna	NK cell(Uterus)
X5.6	4.429461021	-2.356031553	rna	NK cell(Uterus)
X6.6	-6.836793404	2.297249838	rna	NK cell(Uterus)
X7.6	-2.208281021	-0.125312344	rna	NK cell(Uterus)
X8.6	-7.176288109	3.231543883	rna	NK cell(Uterus)
X9.6	-4.168525677	-0.017307536	rna	NK cell(Uterus)
X10.6	-4.946110468	1.129343792	rna	NK cell(Uterus)
X11.6	-4.521189909	1.406175447	rna	NK cell(Uterus)
X12.6	9.635591049	-3.872511522	rna	NK cell(Uterus)
X13.6	-2.775151115	-0.649680511	rna	NK cell(Uterus)
X14.6	8.724916954	-4.230325357	rna	NK cell(Uterus)
X15.6	-1.581991534	-0.319013373	rna	NK cell(Uterus)
X16.6	12.19565632	22.10070024	rna	NK cell(Uterus)
X17.6	4.222150345	-2.830855028	rna	NK cell(Uterus)
X18.6	4.402962227	-2.947373525	rna	NK cell(Uterus)
X19.6	-3.853513937	0.565286561	rna	NK cell(Uterus)
X20.6	-4.285559397	-0.108111993	rna	NK cell(Uterus)
X21.6	4.052354832	-2.963614599	rna	NK cell(Uterus)
X22.6	-0.823819291	0.121121868	rna	NK cell(Uterus)
X23.6	1.297753353	-0.344181077	rna	NK cell(Uterus)
X24.6	-4.664100866	0.324702605	rna	NK cell(Uterus)
X25.6	-0.005971651	-0.1972809	rna	NK cell(Uterus)
X26.6	7.347524185	-20.77781691	rna	NK cell(Uterus)
X27.6	-2.778733115	0.58716987	rna	NK cell(Uterus)
X28.6	3.171757717	-0.4672388	rna	NK cell(Uterus)
X29.6	-4.851139527	0.422413155	rna	NK cell(Uterus)
