	Dim1	Dim2	Dataset
V297	-1.305908533	-7.048324388	PBMC_human
V298	5.223826437	9.732042986	PBMC_human
V299	5.106035261	-12.38423852	PBMC_human
V300	4.182392149	-12.12164239	PBMC_human
V301	-10.37324473	-0.086527568	PBMC_human
V302	3.957868366	-11.76594667	PBMC_human
V303	12.59311059	6.293017107	PBMC_human
V304	-3.411025496	9.808908183	PBMC_human
V305	4.347691087	-11.93817071	PBMC_human
V306	6.086236982	10.14065714	PBMC_human
V307	5.638170747	9.825006205	PBMC_human
V308	2.54157546	-11.11260347	PBMC_human
V309	12.64273503	6.242713171	PBMC_human
V310	3.553893594	-11.56423597	PBMC_human
V311	-12.63463924	-0.602145654	PBMC_human
V312	5.362236528	9.782045084	PBMC_human
V313	5.883295564	8.949586588	PBMC_human
V314	-3.396679135	9.81532355	PBMC_human
V315	6.353969602	9.480518061	PBMC_human
V316	-10.80989883	2.349926669	PBMC_human
V317	2.819553642	-11.34962968	PBMC_human
V318	1.200735359	-9.209216398	PBMC_human
V319	2.674248247	-11.19515447	PBMC_human
V320	5.971394567	10.23565074	PBMC_human
V321	-12.67139003	0.367825049	PBMC_human
V322	-1.100375863	7.316236216	PBMC_human
V323	3.806457548	-11.70493535	PBMC_human
V324	4.870834856	-12.14806394	PBMC_human
V325	6.000054388	10.09923716	PBMC_human
V326	1.482697634	10.45409175	PBMC_human
V327	4.104790239	-11.94257192	PBMC_human
V328	-13.14598414	-0.359732401	PBMC_human
V329	-11.65425059	1.083997208	PBMC_human
V330	-12.63091323	-0.663903218	PBMC_human
V331	0.35032746	-6.263553899	PBMC_human
V332	-10.57933948	0.582743544	PBMC_human
V333	1.636815576	-10.23528127	PBMC_human
X0.1	2.365780143	1.866604763	Stromal cell_Ccl11 high(Uterus)
X1	2.8530865	0.927864391	Stromal cell_Ccl11 high(Uterus)
X2	2.097355394	0.618891615	Stromal cell_Ccl11 high(Uterus)
X3	2.134105234	0.727877814	Stromal cell_Ccl11 high(Uterus)
X4	2.669126777	0.920378047	Stromal cell_Ccl11 high(Uterus)
X5	2.711088447	0.893949348	Stromal cell_Ccl11 high(Uterus)
X6	1.811659007	1.178652007	Stromal cell_Ccl11 high(Uterus)
X7	2.951603918	0.619622845	Stromal cell_Ccl11 high(Uterus)
X8	1.835571317	0.823625404	Stromal cell_Ccl11 high(Uterus)
X9	2.721767215	0.93448146	Stromal cell_Ccl11 high(Uterus)
X10	2.578732757	0.293756563	Stromal cell_Ccl11 high(Uterus)
X11	2.968644886	0.896428901	Stromal cell_Ccl11 high(Uterus)
X12	2.522399215	0.911495525	Stromal cell_Ccl11 high(Uterus)
X13	2.844113855	1.129321534	Stromal cell_Ccl11 high(Uterus)
X14	2.915594844	0.77109893	Stromal cell_Ccl11 high(Uterus)
X15	2.816391019	1.018076378	Stromal cell_Ccl11 high(Uterus)
X16	2.644407539	0.543120223	Stromal cell_Ccl11 high(Uterus)
X17	2.456499366	1.071422058	Stromal cell_Ccl11 high(Uterus)
X18	1.952269702	1.214411098	Stromal cell_Ccl11 high(Uterus)
X19	2.893297224	1.036146361	Stromal cell_Ccl11 high(Uterus)
X20	2.521072177	1.280545789	Stromal cell_Ccl11 high(Uterus)
X21	2.772970705	0.699833888	Stromal cell_Ccl11 high(Uterus)
X22	2.801202087	1.075293619	Stromal cell_Ccl11 high(Uterus)
X23	2.601990251	0.955923873	Stromal cell_Ccl11 high(Uterus)
X24	2.672385482	0.892126399	Stromal cell_Ccl11 high(Uterus)
X25	2.388645677	1.017101604	Stromal cell_Ccl11 high(Uterus)
X26	2.507841854	0.911825496	Stromal cell_Ccl11 high(Uterus)
X27	2.842135934	0.861920196	Stromal cell_Ccl11 high(Uterus)
X28	2.12358859	1.43987723	Stromal cell_Ccl11 high(Uterus)
X29	2.143846302	0.909703452	Stromal cell_Ccl11 high(Uterus)
X30	2.938563852	0.839546281	Stromal cell_Ccl11 high(Uterus)
X31	1.27275887	1.866716105	Stromal cell_Ccl11 high(Uterus)
X32	2.736709384	1.067106921	Stromal cell_Ccl11 high(Uterus)
X33	2.645823984	0.756176907	Stromal cell_Ccl11 high(Uterus)
X34	2.812506942	1.038405973	Stromal cell_Ccl11 high(Uterus)
X35	2.173102169	0.564666528	Stromal cell_Ccl11 high(Uterus)
X36	2.641124038	1.138670761	Stromal cell_Ccl11 high(Uterus)
X37	2.430946378	1.232531506	Stromal cell_Ccl11 high(Uterus)
X38	2.566408186	1.003454524	Stromal cell_Ccl11 high(Uterus)
X39	2.904878644	0.739464837	Stromal cell_Ccl11 high(Uterus)
X40	2.27780941	0.699264246	Stromal cell_Ccl11 high(Uterus)
X41	2.827733068	1.002428728	Stromal cell_Ccl11 high(Uterus)
X42	2.448349027	0.926428515	Stromal cell_Ccl11 high(Uterus)
X43	2.800213604	1.126829106	Stromal cell_Ccl11 high(Uterus)
X44	2.863703994	0.710420865	Stromal cell_Ccl11 high(Uterus)
X45	2.853108911	0.534983057	Stromal cell_Ccl11 high(Uterus)
X46	2.339599638	1.133436281	Stromal cell_Ccl11 high(Uterus)
X47	2.694826631	0.928986985	Stromal cell_Ccl11 high(Uterus)
X48	2.648491411	1.057553011	Stromal cell_Ccl11 high(Uterus)
X49	2.345959215	0.521463174	Stromal cell_Ccl11 high(Uterus)
X0.2	1.608391194	11.87449046	Endothelial cell_Tm4sf1 high(Uterus)
X1.1	1.305353074	11.40216704	Endothelial cell_Tm4sf1 high(Uterus)
X2.1	1.518411426	0.648274797	Endothelial cell_Tm4sf1 high(Uterus)
X3.1	1.426730542	11.36678763	Endothelial cell_Tm4sf1 high(Uterus)
X4.1	1.079646258	11.20792361	Endothelial cell_Tm4sf1 high(Uterus)
X5.1	-0.624694021	10.56638499	Endothelial cell_Tm4sf1 high(Uterus)
X6.1	1.060797481	11.00299235	Endothelial cell_Tm4sf1 high(Uterus)
X7.1	1.147760419	11.36716719	Endothelial cell_Tm4sf1 high(Uterus)
X8.1	1.314656763	11.21686621	Endothelial cell_Tm4sf1 high(Uterus)
X9.1	1.233692436	11.29406615	Endothelial cell_Tm4sf1 high(Uterus)
X10.1	1.144707827	11.09929057	Endothelial cell_Tm4sf1 high(Uterus)
X11.1	1.333336978	-2.841306251	Endothelial cell_Tm4sf1 high(Uterus)
X12.1	1.434497742	11.16076251	Endothelial cell_Tm4sf1 high(Uterus)
X13.1	1.360567836	11.09318228	Endothelial cell_Tm4sf1 high(Uterus)
X14.1	0.101928978	10.83626528	Endothelial cell_Tm4sf1 high(Uterus)
X15.1	1.616533904	11.31910105	Endothelial cell_Tm4sf1 high(Uterus)
X16.1	1.528152971	11.42714472	Endothelial cell_Tm4sf1 high(Uterus)
X17.1	1.514770178	11.22769328	Endothelial cell_Tm4sf1 high(Uterus)
X18.1	1.473676829	11.09791728	Endothelial cell_Tm4sf1 high(Uterus)
X19.1	1.457502155	10.80723735	Endothelial cell_Tm4sf1 high(Uterus)
X20.1	1.580466418	11.44264384	Endothelial cell_Tm4sf1 high(Uterus)
X21.1	1.306976943	10.52411814	Endothelial cell_Tm4sf1 high(Uterus)
X22.1	1.329567818	10.33931418	Endothelial cell_Tm4sf1 high(Uterus)
X23.1	1.658591537	11.73435755	Endothelial cell_Tm4sf1 high(Uterus)
X24.1	1.159923224	11.24359103	Endothelial cell_Tm4sf1 high(Uterus)
X25.1	1.360769181	10.20921679	Endothelial cell_Tm4sf1 high(Uterus)
X26.1	1.369642882	11.13885089	Endothelial cell_Tm4sf1 high(Uterus)
X27.1	1.362495689	11.01734133	Endothelial cell_Tm4sf1 high(Uterus)
X28.1	0.876737742	11.12526389	Endothelial cell_Tm4sf1 high(Uterus)
X29.1	1.295192151	10.89412757	Endothelial cell_Tm4sf1 high(Uterus)
X30.1	1.259389548	11.28653975	Endothelial cell_Tm4sf1 high(Uterus)
X31.1	1.621923952	11.41191264	Endothelial cell_Tm4sf1 high(Uterus)
X32.1	1.694421558	11.74979087	Endothelial cell_Tm4sf1 high(Uterus)
X33.1	1.134452252	11.06895037	Endothelial cell_Tm4sf1 high(Uterus)
X34.1	0.96484658	11.18697043	Endothelial cell_Tm4sf1 high(Uterus)
X35.1	1.313386111	11.28136035	Endothelial cell_Tm4sf1 high(Uterus)
X36.1	1.360230832	10.4909627	Endothelial cell_Tm4sf1 high(Uterus)
X37.1	1.3499234	11.09795066	Endothelial cell_Tm4sf1 high(Uterus)
X38.1	0.891585617	10.93172522	Endothelial cell_Tm4sf1 high(Uterus)
X39.1	1.566717176	11.83437415	Endothelial cell_Tm4sf1 high(Uterus)
X40.1	1.390142231	11.39142962	Endothelial cell_Tm4sf1 high(Uterus)
X41.1	1.491719274	10.95144435	Endothelial cell_Tm4sf1 high(Uterus)
X42.1	1.118674664	11.15772505	Endothelial cell_Tm4sf1 high(Uterus)
X43.1	1.417086033	11.67376586	Endothelial cell_Tm4sf1 high(Uterus)
X44.1	1.514055876	10.95784064	Endothelial cell_Tm4sf1 high(Uterus)
X45.1	1.426998524	11.20103903	Endothelial cell_Tm4sf1 high(Uterus)
X46.1	1.483499078	11.14042254	Endothelial cell_Tm4sf1 high(Uterus)
X47.1	0.312495677	10.87144633	Endothelial cell_Tm4sf1 high(Uterus)
X48.1	1.689786462	11.50653906	Endothelial cell_Tm4sf1 high(Uterus)
X49.1	1.130025773	11.08914443	Endothelial cell_Tm4sf1 high(Uterus)
X0.3	2.756168155	0.661635059	Stromal cell_Hsd11b2 high(Uterus)
X1.2	2.560231952	1.094613868	Stromal cell_Hsd11b2 high(Uterus)
X2.2	1.677298932	0.397697467	Stromal cell_Hsd11b2 high(Uterus)
X3.2	1.311621098	0.688135284	Stromal cell_Hsd11b2 high(Uterus)
X4.2	2.426428585	1.302198845	Stromal cell_Hsd11b2 high(Uterus)
X5.2	2.752353696	0.890727478	Stromal cell_Hsd11b2 high(Uterus)
X6.2	2.637279777	0.533865589	Stromal cell_Hsd11b2 high(Uterus)
X7.2	2.906500129	0.656146127	Stromal cell_Hsd11b2 high(Uterus)
X8.2	1.80010107	1.630536515	Stromal cell_Hsd11b2 high(Uterus)
X9.2	1.873695521	1.426202613	Stromal cell_Hsd11b2 high(Uterus)
X10.2	2.876606254	0.652876932	Stromal cell_Hsd11b2 high(Uterus)
X11.2	2.838486223	0.837312299	Stromal cell_Hsd11b2 high(Uterus)
X12.2	1.897453455	0.485071141	Stromal cell_Hsd11b2 high(Uterus)
X13.2	2.667537479	1.01082893	Stromal cell_Hsd11b2 high(Uterus)
X14.2	2.619256525	0.384866792	Stromal cell_Hsd11b2 high(Uterus)
X15.2	2.540419607	0.43688764	Stromal cell_Hsd11b2 high(Uterus)
X16.2	2.89067152	0.785603958	Stromal cell_Hsd11b2 high(Uterus)
X17.2	2.729104547	0.701717276	Stromal cell_Hsd11b2 high(Uterus)
X18.2	2.456254034	1.240908462	Stromal cell_Hsd11b2 high(Uterus)
X19.2	2.021539716	0.944318849	Stromal cell_Hsd11b2 high(Uterus)
X20.2	2.763575105	0.668186504	Stromal cell_Hsd11b2 high(Uterus)
X21.2	1.193051843	1.167494017	Stromal cell_Hsd11b2 high(Uterus)
X22.2	2.187171487	1.398105461	Stromal cell_Hsd11b2 high(Uterus)
X23.2	1.369592695	-0.116199058	Stromal cell_Hsd11b2 high(Uterus)
X24.2	2.838657407	1.079622346	Stromal cell_Hsd11b2 high(Uterus)
X25.2	2.191059856	1.393835265	Stromal cell_Hsd11b2 high(Uterus)
X26.2	2.727688102	0.615467447	Stromal cell_Hsd11b2 high(Uterus)
X27.2	2.393990306	0.361675578	Stromal cell_Hsd11b2 high(Uterus)
X28.2	2.743182926	0.558056373	Stromal cell_Hsd11b2 high(Uterus)
X29.2	2.962056903	0.685208219	Stromal cell_Hsd11b2 high(Uterus)
X30.2	2.115268735	0.942931491	Stromal cell_Hsd11b2 high(Uterus)
X31.2	2.756138353	1.095662075	Stromal cell_Hsd11b2 high(Uterus)
X32.2	2.720539836	0.419784504	Stromal cell_Hsd11b2 high(Uterus)
X33.2	1.825091509	1.379419762	Stromal cell_Hsd11b2 high(Uterus)
X34.2	2.526579885	1.098486143	Stromal cell_Hsd11b2 high(Uterus)
X35.2	2.101231126	1.537426072	Stromal cell_Hsd11b2 high(Uterus)
X36.2	2.346594362	0.781352598	Stromal cell_Hsd11b2 high(Uterus)
X37.2	2.655463724	1.001298267	Stromal cell_Hsd11b2 high(Uterus)
X38.2	2.090643434	1.559886295	Stromal cell_Hsd11b2 high(Uterus)
X39.2	2.621862678	0.955841857	Stromal cell_Hsd11b2 high(Uterus)
X40.2	1.989443569	0.615164238	Stromal cell_Hsd11b2 high(Uterus)
X41.2	2.363168506	1.35917123	Stromal cell_Hsd11b2 high(Uterus)
X42.2	2.85419157	0.476913649	Stromal cell_Hsd11b2 high(Uterus)
X43.2	1.618254809	2.024592358	Stromal cell_Hsd11b2 high(Uterus)
X44.2	2.918417005	0.590287882	Stromal cell_Hsd11b2 high(Uterus)
X45.2	2.982179193	0.931521374	Stromal cell_Hsd11b2 high(Uterus)
X46.2	1.644801168	0.627165038	Stromal cell_Hsd11b2 high(Uterus)
X47.2	2.919661073	0.631086367	Stromal cell_Hsd11b2 high(Uterus)
X48.2	1.820522933	0.516379196	Stromal cell_Hsd11b2 high(Uterus)
X49.2	1.615380673	1.496069509	Stromal cell_Hsd11b2 high(Uterus)
X0.4	2.567605047	0.928194958	Stromal cell_Has1 high(Uterus)
X1.3	2.757335691	0.368355113	Stromal cell_Has1 high(Uterus)
X2.3	1.706741004	0.216567445	Stromal cell_Has1 high(Uterus)
X3.3	2.601246147	0.890308935	Stromal cell_Has1 high(Uterus)
X4.3	2.54881504	0.417971689	Stromal cell_Has1 high(Uterus)
X5.3	2.395923166	0.585829395	Stromal cell_Has1 high(Uterus)
X6.3	2.769997148	0.494071561	Stromal cell_Has1 high(Uterus)
X7.3	2.719163923	0.61038931	Stromal cell_Has1 high(Uterus)
X8.3	2.676291017	0.52643736	Stromal cell_Has1 high(Uterus)
X9.3	2.411340265	0.55573495	Stromal cell_Has1 high(Uterus)
X10.3	2.342586545	-0.076682877	Stromal cell_Has1 high(Uterus)
X11.3	1.791602282	0.449002999	Stromal cell_Has1 high(Uterus)
X12.3	2.275934963	0.589122373	Stromal cell_Has1 high(Uterus)
X13.3	2.514348058	0.380660313	Stromal cell_Has1 high(Uterus)
X14.3	2.380338459	0.77063759	Stromal cell_Has1 high(Uterus)
