,a,TSNE_1,TSNE_2,X     
118,X47.39,-13.28621391,5.766113723,Epithelium of small intestinal villi_Fabp6 high(Small-Intestine)
119,V290,8.565821689,-0.657756963,PBMC_human     
120,X20.44,8.542929263,-0.6383666,PE lineage cell_Gkn2 high(Placenta)  
121,X1.49,-7.446983809,-4.088805833,B cell_Ly6d high(Peripheral_Blood)   
122,X17.49,-7.320994025,-4.16225566,B cell_Ly6d high(Peripheral_Blood)   
123,X20.49,-7.242143562,-4.155988931,B cell_Ly6d high(Peripheral_Blood)   
124,V26,-7.384360611,-4.339292082,PBMC_human     
125,X40.49,-7.357055168,-4.261309032,B cell_Ly6d high(Peripheral_Blood)   
126,X44.49,-7.256750997,-4.16743014,B cell_Ly6d high(Peripheral_Blood)   
127,V248,-10.63562821,-1.288546316,PBMC_human     
128,X0.57,-10.71339576,-1.410856138,Endothelial cell_Fabp4 high(Pancreas)   
129,V9,-10.82521948,-0.707636191,PBMC_human     
130,X10.56,-10.55035005,-1.108210246,Endothelial cell_Fabp4 high(Pancreas)   
131,V17,-10.3790121,-1.261186622,PBMC_human     
132,V61,-10.71119942,-0.78249933,PBMC_human     
133,V91,-10.65596547,-0.896537642,PBMC_human     
134,V140,-10.56652822,-1.099435115,PBMC_human     
135,V144,-10.54284922,-1.056198524,PBMC_human     
136,X14.56,-10.44524619,-1.229199446,Endothelial cell_Fabp4 high(Pancreas)   
137,X15.56,-10.53019708,-0.924430174,Endothelial cell_Fabp4 high(Pancreas)   
138,V28,-10.75507798,-0.723865388,PBMC_human     
139,V237,-10.65571386,-0.672687391,PBMC_human     
140,V287,-10.29369997,0.117826306,PBMC_human     
141,V302,-10.40347595,-0.965377064,PBMC_human     
142,X16.56,-10.43410802,-1.193424263,Endothelial cell_Fabp4 high(Pancreas)   
143,X18.56,-10.27245759,-1.053380119,Endothelial cell_Fabp4 high(Pancreas)   
144,V252,-10.14353635,-0.80482917,PBMC_human     
145,X19.56,-10.69031857,-0.97058607,Endothelial cell_Fabp4 high(Pancreas)   
146,V31,-10.78516197,-1.128692839,PBMC_human     
147,V289,-10.83347255,-0.425697111,PBMC_human     
148,V303,-10.75892098,-0.52993345,PBMC_human     
149,X22.56,-10.68516608,-0.957039707,Endothelial cell_Fabp4 high(Pancreas)   
150,V165,-10.77069246,-0.378244986,PBMC_human     
151,X23.56,-10.6900321,-1.457909606,Endothelial cell_Fabp4 high(Pancreas)   
152,X25.56,-10.72971406,-1.138275133,Endothelial cell_Fabp4 high(Pancreas)   
153,V121,-10.81441625,-1.370891261,PBMC_human     
154,X28.56,-10.62855407,-1.406865803,Endothelial cell_Fabp4 high(Pancreas)   
155,X30.56,-10.49024075,-1.197394364,Endothelial cell_Fabp4 high(Pancreas)   
156,X36.56,-10.22546303,-1.280814641,Endothelial cell_Fabp4 high(Pancreas)   
157,X37.56,-10.49286077,-1.109619596,Endothelial cell_Fabp4 high(Pancreas)   
158,X38.56,-10.52457975,-1.393010128,Endothelial cell_Fabp4 high(Pancreas)   
159,X40.56,-10.47813386,-1.184519085,Endothelial cell_Fabp4 high(Pancreas)   
160,X41.56,-10.46674318,-1.277448276,Endothelial cell_Fabp4 high(Pancreas)   
161,X1.57,-10.63470922,-0.534548085,cell(Pancreas)     
162,V24,-10.79244043,-0.310916008,PBMC_human     
163,V46,-10.81974626,-0.303629652,PBMC_human     
164,V189,-10.6915259,-0.37445173,PBMC_human     
165,V194,-10.21444078,-0.293249205,PBMC_human     
166,V258,-10.56250379,-0.360649546,PBMC_human     
167,X2.57,-10.58082451,-0.21509827,cell(Pancreas)     
168,V86,-10.19302916,-0.254534114,PBMC_human     
169,X3.57,-10.18996485,-0.222853166,cell(Pancreas)     
170,X5.57,-10.66673692,-0.581491343,cell(Pancreas)     
171,X6.57,-10.62117915,-0.196361974,cell(Pancreas)     
172,X7.57,-10.91561447,-0.33773089,cell(Pancreas)     
173,X8.57,-10.10839354,-0.142613604,cell(Pancreas)     
174,X9.57,-10.19170851,-0.251311316,cell(Pancreas)     
175,X10.57,-10.6353349,-0.480634159,cell(Pancreas)     
176,X11.57,-10.72041595,-0.301257703,cell(Pancreas)     
177,X12.57,-10.1666339,-0.176648085,cell(Pancreas)     
178,X14.57,-10.56229549,-0.231075186,cell(Pancreas)     
179,X17.57,-10.1970772,-0.196811955,cell(Pancreas)     
180,X18.57,-9.966231801,-0.304377805,cell(Pancreas)     
181,X22.57,-10.08593982,-0.451516202,cell(Pancreas)     
182,V318,-9.950533313,-0.723746887,PBMC_human     
183,X23.57,-10.23451938,-0.580506483,cell(Pancreas)     
184,X25.57,-10.2649504,-0.180064342,cell(Pancreas)     
185,X26.57,-10.51268922,-0.280574533,cell(Pancreas)     
186,X27.57,-10.92181735,-0.446307158,cell(Pancreas)     
187,V16,-10.97669607,-0.554556169,PBMC_human     
188,V45,-11.027135,-0.480672359,PBMC_human     
189,X28.57,-10.75564799,-0.404981844,cell(Pancreas)     
190,X30.57,-10.60257352,-0.469045371,cell(Pancreas)     
191,X32.57,-10.2327873,-0.241656587,cell(Pancreas)     
192,X33.57,-10.07566458,-0.335867931,cell(Pancreas)     
193,X34.57,-10.84842199,-0.610782147,cell(Pancreas)     
194,X36.57,-10.87061053,-0.514874557,cell(Pancreas)     
195,X38.57,-10.59013864,-0.169229191,cell(Pancreas)     
196,X45.57,-10.65954812,-0.274856871,cell(Pancreas)     
197,X46.57,-10.14939884,-0.20934955,cell(Pancreas)     
198,X47.57,-10.95076751,-0.523833206,cell(Pancreas)     
199,X49.57,-10.78858887,-0.613367989,cell(Pancreas)     
200,V103,-8.870875422,-0.291042962,PBMC_human     
201,X4.58,-8.773258219,-0.204684792,Stromal cell_Smoc2 high(Pancreas)   
202,V187,-8.604494891,0.278618833,PBMC_human     
203,V197,-7.961171632,2.896612004,PBMC_human     
204,X41.58,-7.884311973,2.823996646,Stromal cell_Smoc2 high(Pancreas)   
205,X45.58,-7.883996434,2.794640308,Stromal cell_Smoc2 high(Pancreas)   
206,X27.60,-10.81233525,-0.842079947,Macrophage(Pancreas)     
207,X47.60,-10.87841263,-3.997741651,Macrophage(Pancreas)     
208,X25.61,-8.443608356,-0.191872521,Stromal cell_Fn1 high(Pancreas)   
209,X39.61,-8.501013782,0.459243062,Stromal cell_Fn1 high(Pancreas)   
210,X48.61,-8.305907765,0.789236895,Stromal cell_Fn1 high(Pancreas)   
211,X5.65,8.232147318,-2.694422799,Cumulus cell_Nupr1 high(Ovary)   
212,X43.68,-10.23469955,0.66683753,Ovarian vascular surface endothelium cell(Ovary) 
213,X14.69,7.96697345,-3.068139491,Granulosa cell_Kctd14 high(Ovary)   
214,X14.71,8.612983328,-0.713052949,Large luteal cell(Ovary)   
215,X14.75,7.873206305,-3.138791337,Adipocyte(Neonatal-Skin)     
216,V327,-0.233707435,-13.72500446,PBMC_human     
217,X27.78,-0.314809238,-13.59378038,Cartilage cell_Prg4 high(Neonatal-Rib)   
218,X32.80,-0.20023514,-13.71894859,Cartilage cell_Cxcl14 high(Neonatal-Rib)   
219,V10,-11.80479532,-3.547246807,PBMC_human     
220,X15.81,-11.80844021,-3.534404749,Neutrophil(Neonatal-Rib)     
221,V294,-11.74571119,-3.624788389,PBMC_human     
222,X6.85,-0.105917844,-14.03890195,Cartilage cell_Ppa1 high(Neonatal-Rib)   
223,X4.87,7.856697687,-3.199367406,Epithelial cell(Neonatal-Muscle)    
224,V169,-4.059177507,6.724179814,PBMC_human     
225,X39.92,-4.057393286,6.720209593,Stromal cell_Col3a1 high(Neonatal-Heart)   
226,X28.96,-0.295444813,-13.76910943,Preosteoblast/Osteoblast/Bone cell/Cartilage cell(Neonatal-Calvaria)   
227,X9.114,-7.309758838,-4.041859734,B cell_Cd79a&Iglc2 high(Mammary-Gland-Virgin)   
228,X16.114,-7.354469126,-3.940744456,B cell_Cd79a&Iglc2 high(Mammary-Gland-Virgin)   
229,X31.114,-7.399229292,-4.045331337,B cell_Cd79a&Iglc2 high(Mammary-Gland-Virgin)   
230,X34.114,-7.255210476,-4.16841822,B cell_Cd79a&Iglc2 high(Mammary-Gland-Virgin)   
231,X35.114,-7.555679535,-3.817461494,B cell_Cd79a&Iglc2 high(Mammary-Gland-Virgin)   
232,X19.115,-8.614806884,-1.226059175,Dendritic cell_Fscn1 high(Mammary-Gland-Virgin)   
233,X22.115,-7.373338063,-3.963487018,Dendritic cell_Fscn1 high(Mammary-Gland-Virgin)   
234,X29.115,-8.494835085,-1.302451033,Dendritic cell_Fscn1 high(Mammary-Gland-Virgin)   
235,X28.116,-8.547279436,-1.08568806,Dividing cell(Mammary-Gland-Virgin)    
236,X11.118,-8.765764972,-0.76519855,Stromal cell_Col3a1 high(Mammary-Gland-Virgin)   
237,X0.120,-7.875126391,2.855004165,Stromal cell_Pi16 high(Mammary-Gland-Virgin)   
238,X5.119,-7.997030959,2.666415123,Stromal cell_Pi16 high(Mammary-Gland-Virgin)   
239,X22.119,-8.435134663,-0.010648585,Stromal cell_Pi16 high(Mammary-Gland-Virgin)   
240,X40.119,7.855984689,-3.19776006,Stromal cell_Pi16 high(Mammary-Gland-Virgin)   
241,X45.119,-7.898930702,2.637101766,Stromal cell_Pi16 high(Mammary-Gland-Virgin)   
242,X3.120,8.138732093,-3.481549993,Luminal cell_Krt19 high (Mammary-Gland-Virgin)  
243,X11.122,-8.68837143,-0.701618541,T cell_Ly6c2 high(Mammary-Gland-Virgin)   
244,V27,-9.074548646,-0.056386416,PBMC_human     
245,X9.123,-8.707172253,0.133262251,Stromal cell(Mammary-Gland-Pregrancy)    
246,V305,-3.284925876,-4.412784234,PBMC_human     
247,X14.125,-3.249466482,-4.369666819,Secretory alveoli cell(Mammary-Gland-Pregrancy)   
248,X36.125,-3.282766622,-4.392873573,Secretory alveoli cell(Mammary-Gland-Pregrancy)   
249,X41.131,-7.984450022,2.827377231,Muscle cell_Pi16 high(Mammary-Gland-Involution)   
250,X4.139,-11.44230447,-4.681098665,Kuppfer cell(Liver)    
251,V14,-11.52377233,-4.430504646,PBMC_human     
252,V304,-11.4409961,-4.855367555,PBMC_human     
253,X8.139,-11.19482933,-4.68670604,Kuppfer cell(Liver)    
254,X11.139,-11.42393368,-4.356463246,Kuppfer cell(Liver)    
255,X13.139,-11.30064234,-4.695820912,Kuppfer cell(Liver)    
256,X18.139,-11.26893188,-4.701146877,Kuppfer cell(Liver)    
257,X31.139,-11.27535246,-4.736676534,Kuppfer cell(Liver)    
258,V11,-11.03757199,-4.072048093,PBMC_human     
259,X34.139,-10.87630975,-4.144519531,Kuppfer cell(Liver)    
260,V159,-10.64275522,-4.049798542,PBMC_human     
261,V259,-10.90285781,-4.110086118,PBMC_human     
262,V278,-10.76198454,-4.095160922,PBMC_human     
263,X39.139,-10.911419,-4.265884275,Kuppfer cell(Liver)    
264,X43.139,-11.33564871,-4.511456625,Kuppfer cell(Liver)    
265,X45.139,-11.46976308,-4.516849915,Kuppfer cell(Liver)    
266,V78,-11.3522056,-4.175754709,PBMC_human     
267,X46.139,-11.27855347,-4.624843159,Kuppfer cell(Liver)    
268,V162,-11.59200051,-4.34743756,PBMC_human     
269,X48.139,-11.6440293,-4.592882411,Kuppfer cell(Liver)    
270,X4.140,-11.31458223,-4.537229793,Dendritic cell_Cst3 high(Liver)   
271,X2.141,-9.958038836,-0.995174386,Endothelial cell(Liver)    
272,V130,-8.98092649,-3.372067991,PBMC_human     
273,X3.141,-9.198851039,-3.211313823,Endothelial cell(Liver)    
274,V168,-9.323608009,-3.000671595,PBMC_human     
275,X8.141,-10.03259588,-3.608793541,Endothelial cell(Liver)    
276,X9.141,-11.46191027,-4.468609037,Endothelial cell(Liver)    
277,X11.141,-10.82146576,-4.179601872,Endothelial cell(Liver)    
278,X15.141,-8.843264669,-3.168558532,Endothelial cell(Liver)    
279,X17.141,-11.47189876,-4.347112151,Endothelial cell(Liver)    
280,V99,-11.53323667,-4.149830741,PBMC_human     
281,X18.141,-11.31722986,-4.272866928,Endothelial cell(Liver)    
282,X19.141,-11.21513365,-4.280147584,Endothelial cell(Liver)    
283,X22.141,-7.779897941,-3.70895533,Endothelial cell(Liver)    
284,X27.141,-10.54206987,-4.022803539,Endothelial cell(Liver)    
285,X30.141,-9.736717157,-2.409943108,Endothelial cell(Liver)    
286,X35.141,-10.18470435,-1.539306271,Endothelial cell(Liver)    
287,X43.141,-9.152908776,-2.283981455,Endothelial cell(Liver)    
288,X46.141,-11.13123477,-4.212611827,Endothelial cell(Liver)    
289,X41.157,7.773903786,-3.282931429,Stromal cell_Ankfy1 high(Fetal_Lung)   
290,X47.166,7.490764246,-3.378769558,Stromal cell_Adamdec1 high(Fetal_Intestine)   
291,X11.198,-7.985499243,2.980101533,Stromal cell_Car3 high(Bladder)   
292,X12.198,-7.968321011,2.932717802,Stromal cell_Car3 high(Bladder)   
293,X13.198,-7.962451139,3.01458459,Stromal cell_Car3 high(Bladder)   
294,X16.198,-8.004046647,2.999922876,Stromal cell_Car3 high(Bladder)   
295,X20.198,-7.988853828,2.951043576,Stromal cell_Car3 high(Bladder)   
296,X34.198,-8.002362677,2.964480945,Stromal cell_Car3 high(Bladder)   
297,X36.198,-7.915592,3.012650082,Stromal cell_Car3 high(Bladder)   
298,X43.198,-8.014812393,3.019126923,Stromal cell_Car3 high(Bladder)   
299,V2,-9.957662707,-0.656455533,PBMC_human     
300,V62,-9.909871707,-0.674633675,PBMC_human     
301,V105,-9.843407635,-0.616820077,PBMC_human     
302,V156,-10.02512986,-0.759497818,PBMC_human     
303,V185,-9.901675187,-0.630407365,PBMC_human     
304,V3,-9.804782855,-0.652694054,PBMC_human     
305,V55,-9.97250952,-0.619886593,PBMC_human     
306,V137,-9.91640073,-0.552107232,PBMC_human     
307,V36,-8.152865457,-3.966172064,PBMC_human     
308,V4,-8.001638493,-3.978762065,PBMC_human     
309,V75,-8.156111592,-3.9757543,PBMC_human     
310,V167,-7.876115974,-4.035474849,PBMC_human     
311,V217,-8.088727833,-3.989405922,PBMC_human     
312,V25,-8.092110863,-4.066956198,PBMC_human     
313,V5,-8.080572095,-4.059198432,PBMC_human     
314,V42,-8.073990177,-4.080919604,PBMC_human     
315,V123,-8.067864423,-4.004785876,PBMC_human     
316,V222,-8.101071581,-4.055926006,PBMC_human     
317,V6,-9.824080881,-0.522960759,PBMC_human     
318,V119,-9.897752458,-0.585149133,PBMC_human     
319,V125,-9.926721156,-0.455738704,PBMC_human     
320,V133,-9.815402061,-0.461101329,PBMC_human     
321,V263,-10.12075916,-0.578945749,PBMC_human     
322,V38,-11.40583354,-4.076844213,PBMC_human     
323,V7,-11.23988288,-4.0000399,PBMC_human     
324,V229,-11.27277323,-3.93189143,PBMC_human     
325,V18,-9.343720654,0.255213247,PBMC_human     
326,V8,-9.542680137,0.119276937,PBMC_human     
327,V33,-9.506067978,0.018767046,PBMC_human     
328,V76,-9.399842347,0.278954506,PBMC_human     
329,V96,-9.51176456,0.137952734,PBMC_human     
330,V307,-9.4785001,0.157940929,PBMC_human     
331,V101,-10.24027658,-0.943417908,PBMC_human     
332,V314,-11.37170047,-3.987507486,PBMC_human     
333,V13,-11.33225362,-4.044868488,PBMC_human     
334,V163,-10.05167795,-0.770609525,PBMC_human     
335,V63,-9.705048334,-0.532287815,PBMC_human     
336,V109,-9.838033926,-0.808564863,PBMC_human     
337,V37,-9.36344542,0.315507345,PBMC_human     
338,V79,-9.315867414,0.359019344,PBMC_human     
339,V80,-9.326775313,0.293456464,PBMC_human     
340,V106,-9.327038564,0.270908948,PBMC_human     
341,V19,-8.306478292,-3.851555285,PBMC_human     
342,V52,-8.028115112,-4.092011929,PBMC_human     
343,V92,-8.156389789,-3.978161491,PBMC_human     
344,V146,-8.045906535,-4.099172823,PBMC_human     
345,V20,-9.83893177,-0.664799445,PBMC_human     
346,V216,-9.967128627,-0.701076801,PBMC_human     
347,V21,-8.072741229,-4.00076169,PBMC_human     
348,V206,-8.132151864,-4.022278353,PBMC_human     
349,V227,-8.001324488,-4.069597781,PBMC_human     
350,V70,-9.334809168,0.317225319,PBMC_human     
351,V22,-9.357332782,0.314666418,PBMC_human     
352,V77,-9.287389237,0.119413823,PBMC_human     
353,V134,-9.378540399,0.325990726,PBMC_human     
354,V138,-9.385107428,0.2754626,PBMC_human     
355,V249,-9.495867663,0.122137392,PBMC_human     
356,V23,-8.118921952,-4.021448362,PBMC_human     
357,V218,-8.090826979,-3.971372542,PBMC_human     
358,V50,-9.77395388,-0.659809975,PBMC_human     
359,V226,-10.04399058,-0.5760178,PBMC_human     
360,V39,-9.615667882,-0.519648478,PBMC_human     
361,V67,-9.705342876,-0.579239597,PBMC_human     
362,V213,-9.900884698,-0.519521138,PBMC_human     
363,V29,-9.519487273,-0.635077265,PBMC_human     
364,V73,-9.649708413,-0.528334052,PBMC_human     
365,V201,-9.751121783,-0.620562136,PBMC_human     
366,V186,-9.551381903,-0.564122273,PBMC_human     
367,V269,-9.535169035,-0.59488191,PBMC_human     
368,V281,-9.468305414,-0.574143004,PBMC_human     
369,V285,-9.373374729,-0.300222985,PBMC_human     
370,V288,-9.694627992,-0.698815503,PBMC_human     
371,V161,-9.346150738,0.314831861,PBMC_human     
372,V235,-9.433547691,0.089531622,PBMC_human     
373,V32,-11.42538578,-3.948960722,PBMC_human     
374,V139,-11.45403638,-3.978024788,PBMC_human     
375,V90,-9.544967061,-0.132732775,PBMC_human     
376,V198,-9.439453951,0.24594298,PBMC_human     
377,V51,-9.403322438,-0.34292315,PBMC_human     
378,V34,-9.503099454,-0.351068178,PBMC_human     
379,V114,-9.616425498,-0.544392736,PBMC_human     
380,V100,-9.790550258,-0.475505791,PBMC_human     
381,V321,-9.593170716,-0.513383135,PBMC_human     
382,V83,-9.330880156,0.292187533,PBMC_human     
383,V122,-9.393417648,0.312147483,PBMC_human     
384,V253,-9.543116799,-0.35460141,PBMC_human     
385,V40,-9.781379468,-0.538101418,PBMC_human     
386,V69,-9.758718991,-0.496581878,PBMC_human     
387,V97,-9.708850298,-0.557547492,PBMC_human     
388,V220,-9.831096592,-0.758448266,PBMC_human     
389,V41,-8.323025429,-3.807713544,PBMC_human     
390,V84,-8.235379656,-3.904209424,PBMC_human     
391,V177,-8.412144985,-3.767161318,PBMC_human     
392,V43,-9.596102794,-0.752710177,PBMC_human     
393,V324,-9.840261243,-0.731942057,PBMC_human     
394,V255,-9.921817085,-0.804464421,PBMC_human     
395,V47,-9.311379808,-0.22337813,PBMC_human     
396,V238,-9.431597328,0.054322119,PBMC_human     
397,V111,-9.563290011,-1.01704342,PBMC_human     
398,V147,-9.361330832,0.198753376,PBMC_human     
399,V330,-9.232484712,-0.359224606,PBMC_human     
400,V53,-8.076778394,-4.069157629,PBMC_human     
401,V268,-8.083300388,-4.062389104,PBMC_human     
402,V54,-9.696237014,-0.500030725,PBMC_human     
403,V296,-9.753555842,-0.41976145,PBMC_human     
404,V57,-9.332574079,0.24034417,PBMC_human     
405,V58,-11.18145899,-3.636134129,PBMC_human     
406,V230,-11.29001243,-3.966366878,PBMC_human     
407,V273,-11.04590476,-3.75693412,PBMC_human     
408,V74,-9.088250379,-0.530150584,PBMC_human     
409,V136,-9.397885962,0.168738066,PBMC_human     
410,V113,-10.10785459,-0.614917126,PBMC_human     
411,V64,-11.17443418,-3.732565689,PBMC_human     
412,V132,-11.33401045,-4.061091789,PBMC_human     
413,V250,-11.28817597,-3.884990001,PBMC_human     
414,V315,-10.83472095,-3.851785126,PBMC_human     
415,V65,-8.143203811,-3.978129921,PBMC_human     
416,V66,-9.81575534,-0.209858852,PBMC_human     
417,V68,-11.06538645,-3.636547619,PBMC_human     
418,V219,-9.335654629,0.366674585,PBMC_human     
419,V71,-9.47289787,-0.325843758,PBMC_human     
420,V72,-9.715106726,-0.705518787,PBMC_human     
